language_name,language_code,language_family,SIB gpt-3.5 (old),SIB gpt-4 (old),SIB gpt-3.5-turbo-1106 (Apr 2025),SIB gpt-4o (Apr 2025),SIB Gemini-2-Flash (Apr 2025),SIB Gemma-3-27B,SIB XLMR,Flores xx-eng gpt-3.5-turbo-1106,Flores eng-xx gpt-3.5-turbo-1106,Flores xx-eng gpt-4o (Apr 2025),Flores eng-xx gpt-4o (Apr 2025),Flores xx-eng Gemini-2-Flash (Apr 2025),Flores eng-xx Gemini-2-Flash (Apr 2025),Flores xx-eng Gemma3-27B,Flores eng-xx Gemma3-27B,region,Flores xx-eng NLLB3.3,Flores eng-xx NLLB3.3
Ayacucho Quechua,quy_Latn,Quechuan,36.2,18.5,40.7,61.8,74.5,60.8,34.3,25.9,9.3,31.3,26.3,37.7,31.1,26,22.1,Americas,34.6,20.8
Romanian,ron_Latn,Indo-European,66.5,75.1,85.3,89.7,89.2,87.3,89.2,64.7,64,66.6,65.8,67.7,65.7,66.1,64.2,Europe 2,67.4,61.8
Rundi,run_Latn,Atlantic-Congo,40.8,33.1,58.3,81.4,81.9,74.5,27.5,31,16.6,45.6,37.1,48.5,38.7,38.8,28.2,Africa,50.1,39.5
Russian,rus_Cyrl,Indo-European,62.8,80.2,84.3,87.7,87.3,87.7,86.8,58.5,56.6,60.8,58.4,62,58.9,59.8,57,Europe 2,61.1,57.6
Sango,sag_Latn,Atlantic-Congo,15.3,9.4,40.7,58.3,72.5,39.7,31.4,24.1,4.6,24.9,21.6,38.2,29.7,20.1,13.6,Africa,34,33.3
Sanskrit,san_Deva,Indo-European,37.8,53.3,66.7,83.8,84.3,78.9,25.5,37.3,21.8,46.8,26,50.7,28,43.5,11.7,Asia 2,49,23
Santali,sat_Olck,Austroasiatic,1.8,0,9.3,19.6,81.9,75,25,16.7,0.2,17.7,1.1,53.1,28.5,38.9,8.3,Asia 2,1,0.3
Sicilian,scn_Latn,Indo-European,43.9,58.1,76.5,87.7,88.7,83.3,48,56.1,35.9,62.7,41,64.1,34.3,59.9,39.2,Europe 1,61.5,39
Shan,shn_Mymr,Tai-Kadai,19.3,14.7,34.8,42.2,81.4,54.4,25,23.8,7.6,22.9,15.5,45.6,25.4,28.5,6.9,Asia 3,47.2,35.6
Sinhala,sin_Sinh,Indo-European,22.5,70.3,42.6,85.8,86.3,85.8,83.3,22,19.5,57.5,31.3,62.5,49.4,55.9,38.4,Asia 2,60.5,44.2
Slovak,slk_Latn,Indo-European,62.6,71.7,84.8,86.8,91.2,85.3,86.3,62.2,56.8,64.6,60.1,65.3,61.1,63.8,57.2,Europe 2,64.3,58.3
Slovenian,slv_Latn,Indo-European,61.5,72.3,85.3,87.7,90.7,85.3,87.3,59.4,55.5,61.1,58.4,62.4,58.7,60.9,55.1,Europe 1,60.8,54.6
Samoan,smo_Latn,Austronesian,50.8,54.3,70.1,88.7,87.3,81.9,25,36.1,22.8,55.1,49.1,57.8,49.8,48.2,41.5,Oceania,56.5,50.1
Shona,sna_Latn,Atlantic-Congo,37.2,37.2,63.2,83.3,85.8,76,25.5,33.4,15.3,49,43.1,52.2,44.8,44.8,35.1,Africa,51.6,43.4
Sindhi,snd_Arab,Indo-European,49.1,62.4,70.6,88.2,88.2,83.8,75,36.9,22.5,62.9,44.4,65.4,46.3,58.4,33.9,Asia 2,65,48.1
Somali,som_Latn,Afro-Asiatic,48,58.3,68.1,86.8,82.8,82.4,33.8,37.4,29.4,53.8,41.4,56.1,41,50.3,37.4,Africa,53.4,41.9
Southern Sotho,sot_Latn,Atlantic-Congo,38.2,43.2,57.8,84.3,84.3,72.5,36.8,33.3,20.7,58.5,48,61.1,49.6,50.9,38.1,Africa,61,46.5
Spanish,spa_Latn,Indo-European,67.5,80.6,84.3,85.3,89.2,86.3,87.3,55.5,56.5,56.1,56.6,57.7,56.6,56.5,55.9,Europe 1,57.4,56.4
Sardinian,srd_Latn,Indo-European,36.1,50.6,75,83.3,87.3,79.9,65.2,56.9,42.1,63.9,42.4,68.5,51.1,60.6,42.3,Europe 1,66.5,54.9
Serbian,srp_Cyrl,Indo-European,55.4,75.9,86.3,88.2,88.2,87.7,84.3,64.7,56.5,67.6,2.6,68.3,13.3,66.3,45.5,Europe 2,66.7,59.1
Swati,ssw_Latn,Atlantic-Congo,26.1,30.3,49,82.8,81.9,69.6,31.9,32.1,10.6,48.3,35.1,52.5,35.7,40.7,28.6,Africa,52,42.3
Sundanese,sun_Latn,Austronesian,50.8,56.7,76.5,90.2,87.3,82.4,62.7,49.7,39,61.9,47.6,63.5,46.7,58,41.5,Asia 3,62.6,46.4
Swedish,swe_Latn,Indo-European,66,75.5,83.3,89.2,89.2,88.7,88.7,69.1,68.5,70.2,69.3,70.8,69,69.4,66.8,Europe 1,69.7,66.2
Swahili,swh_Latn,Atlantic-Congo,63.8,71.6,84.8,88.7,87.7,84.8,73,63.5,60.1,66.9,62.1,68.8,61.8,64.6,57,Africa,65.5,58.2
Silesian,szl_Latn,Indo-European,38.4,51.7,73.5,83.8,86.8,82.4,31.9,58.4,35.5,64.9,38.7,66.5,41.5,61.5,31.9,Europe 2,65,50.3
Tamil,tam_Taml,Dravidian,48.7,69.2,72.5,85.8,86.8,83.3,81.4,38.3,33.8,57.4,30.2,60.3,51.8,56.8,49.3,Asia 2,60.9,52.5
Tamasheq (Latin script),taq_Latn,Afro-Asiatic,22.8,17.7,46.6,54.4,56.9,49.5,33.8,24.6,8.2,26.4,18.4,27.1,15.7,23.5,15.8,Africa,31.4,19.8
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,3.1,3.3,14.7,24.5,34.8,24,25,17.6,5.2,18.2,11.4,20.7,11.2,16.4,5.3,Africa,26.1,17.8
Tatar,tat_Cyrl,Turkic,46.1,61.9,75,88.2,89.7,85.8,68.1,36.8,21.5,57.5,48.8,59.1,51.4,54.7,40,Europe 2,56.8,49.6
Telugu,tel_Telu,Dravidian,60.4,68.4,77,87.3,87.3,85.8,82.8,45.5,34.4,62.9,44.3,65.3,52,61.6,49.8,Asia 2,66.4,52.8
Tajik,tgk_Cyrl,Indo-European,49.1,61.6,72.1,86.8,89.2,85.3,23,40.5,29.3,59.3,49.4,61.4,51.9,56.3,43.7,Asia 1,59.2,50.9
Tagalog,tgl_Latn,Austronesian,67.9,76.9,82.4,89.7,85.8,83.8,80.9,63.6,60.8,68.3,63.4,69.5,63.5,67.1,61.3,Asia 3,67.8,61.1
Thai,tha_Thai,Tai-Kadai,61.1,75.5,82.4,85.3,84.8,86.8,87.7,48.4,43.1,57.5,49.5,59,49.6,56.5,47.1,Asia 3,56.5,40.1
Tigrinya,tir_Ethi,Afro-Asiatic,19.3,37.1,26.5,77.9,83.3,74.5,25,18.4,5.8,35.5,10.4,52.2,23,34.9,10.1,Africa,50.4,24.3
Tok Pisin,tpi_Latn,Indo-European,63.8,60.8,78.9,87.3,85.3,80.4,25,43.6,37.1,49.3,46.1,53.3,47.4,42.1,35.8,Oceania,52,44.8
Tswana,tsn_Latn,Atlantic-Congo,31.8,42.8,48.5,86.3,83.3,66.7,32.8,30.9,17,49.2,43.7,52.7,47.9,37.4,32.7,Africa,52.1,47.3
Tsonga,tso_Latn,Atlantic-Congo,34.2,29.4,55.9,83.8,83.8,61.8,27.5,32,15,50.4,41.2,55.1,42.6,31.8,24.7,Africa,54.5,49.1
Turkmen,tuk_Latn,Turkic,52.3,53.1,70.6,87.7,88.2,86.8,25,40.8,25.2,59.9,48.6,61.8,52.2,55.6,38.6,Asia 1,56.5,41.7
Tumbuka,tum_Latn,Atlantic-Congo,28.5,32.6,58.3,82.8,83.3,73,27,27.6,16.5,39.4,35.5,43,36.1,32.3,27,Africa,43.1,40
Turkish,tur_Latn,Turkic,66.1,78.2,81.4,87.7,87.7,84.3,86.8,60.4,57.9,63.4,59.6,64.4,59.8,62.1,57.2,Asia 1,64,58.5
Twi,twi_Latn,Atlantic-Congo,33,34.6,53.9,76,85.3,61.8,24,30,13.4,41.4,29.1,49.3,35.9,31.9,18.7,Africa,47,36.7
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,4.1,1.1,11.8,13.2,69.1,25.5,25,17.8,8.3,18.5,3.2,39.9,7.6,19.3,2.6,Africa,39.6,29.3
Uyghur,uig_Arab,Turkic,46.4,57.7,56.4,83.8,87.3,82.4,69.1,30.4,20.5,50.8,31.2,54.5,46.7,46.9,29.3,Asia 1,51,39
Ukrainian,ukr_Cyrl,Indo-European,67.1,79.2,84.3,87.7,89.2,85.3,88.2,61.7,55,64.8,58,65.7,58.3,63.6,55.7,Europe 2,64.2,56.1
Umbundu,umb_Latn,Atlantic-Congo,15.2,7.7,42.6,54.4,57.8,40.2,25,23.1,5.3,26.6,21.2,30.6,21.5,21.5,15.1,Africa,31,22.9
Urdu,urd_Arab,Indo-European,64.3,76.8,80.9,85.8,89.2,84.8,79.9,51.4,41.7,60.6,47.7,62.1,48.2,58.6,44.4,Asia 2,61.7,47.5
Northern Uzbek,uzn_Latn,Turkic,57.6,60.3,73,85.3,86.3,85.3,66.7,45.7,39.9,60,51.9,62.2,48.9,58.2,44.9,Asia 1,59.9,52.5
Venetian,vec_Latn,Indo-European,44.1,59.4,80.4,86.3,85.8,83.8,25,62.8,41,65.9,43.5,67.2,45.9,64.3,41,Europe 1,66.7,46.5
Vietnamese,vie_Latn,Austroasiatic,63.3,75.7,80.9,87.3,87.7,86.8,89.7,57.3,58.5,60.9,61.3,62,60.8,59.7,58.7,Asia 3,61.2,60
Waray,war_Latn,Austronesian,64.6,65.4,78.9,87.3,86.8,81.4,25,58.9,49.3,68,55.2,71.3,57.3,64.3,47.9,Asia 3,68.2,57.5
Wolof,wol_Latn,Atlantic-Congo,29.5,24.1,56.9,76.5,79.9,61.3,27.9,26.4,10.6,40.5,23.1,45.8,27.8,25.5,17.8,Africa,39.9,25.9
Xhosa,xho_Latn,Atlantic-Congo,37.7,48.2,67.6,87.3,86.3,78.9,25,40,21.9,59.4,44.5,61.7,46.5,52.4,35.8,Africa,60.7,45.9
Eastern Yiddish,ydd_Hebr,Indo-European,33.2,44.8,63.2,87.3,86.3,82.4,30.4,45.2,31,73.3,33.6,74.3,34.6,68.9,30.3,Europe 2,69.2,33.7
Yoruba,yor_Latn,Atlantic-Congo,33.8,40.5,51,81.4,84.8,73.5,25,29.7,11.4,45,22.4,48.7,27.6,36.8,21,Africa,46.5,22.9
Yue Chinese,yue_Hant,Sino-Tibetan,63.9,79.2,81.9,88.7,85.3,84.8,89.7,54.3,22.3,57.2,22.3,58.3,17,55.6,15.7,Asia 4,55.4,14.7
Chinese (Simplified),zho_Hans,Sino-Tibetan,60.6,79.5,82.4,87.3,88.2,87.3,90.7,53.5,31,56.2,33.1,57.2,32.8,55,31,Asia 4,55.6,23.9
Chinese (Traditional),zho_Hant,Sino-Tibetan,64.2,78.8,86.3,90.2,87.3,87.3,88.7,52.5,24.8,55,27.3,56.1,27.9,53.5,24.8,Asia 4,49,15.9
Standard Malay,zsm_Latn,Austronesian,63.4,76.1,81.4,87.7,88.7,86.3,62.3,64.5,64.5,68.1,67,69.1,65.4,65.7,63.5,Asia 3,68.3,67.1
Zulu,zul_Latn,Atlantic-Congo,39.3,53.1,67.6,88.2,87.7,79.9,26,40.7,25.2,59.9,48.3,62.9,52.3,55.3,40.8,Africa,61.5,52.9
