language_name,language_code,script,hrl/lrl,Joshi_class,Joshi_class_modfied,data_size_in_XLMR (GiB),coverage_in_XLM-R,coverage_in_GLOT,language_family,region,region_normalized,MLP (word-tokens),MLP (XLMR tokens),diff MLP,diff MLP-xlmr,xlmrbase,glot,xlmr,xlmr_zero_eng,xlmr_zero_fra,xlmr_zero_ara,xlmr_zero_zho,gpt-3.5,gpt-4,gpt-4o,gpt-4-low-scores,xlmr-zero-eng-low-scores,
Malayalam,mal_Mlym,Mlym,lrl,1,1,7.6,X,X,Dravidian,Asia 2,Asia,63.89,59.17,-4.72,26.33,83.3,72.9,85.5,86.7,87.6,88,86.9,59.7,71.5,85.3,FALSE,FALSE,
Marathi,mar_Deva,Deva,lrl,2,2,2.8,X,X,Indo-European,Asia 2,Asia,63.77,63.91,0.14,25.99,83.1,73.4,89.9,87.2,87.6,88.4,87.3,57.8,72.8,86.3,FALSE,FALSE,
Minangkabau (Arabic script),min_Arab,Arab,lrl,1,1,,,,Austronesian,Asia 3,Asia,52.7,50.51,-2.19,-12.41,34.9,25.4,38.1,24.6,21.6,23.5,23.8,8.1,11.2,77,TRUE,TRUE,
Minangkabau (Latin script),min_Latn,Latn,lrl,1,1,,,X,Austronesian,Asia 3,Asia,52.68,61.4,8.72,24,81,71.6,85.4,78.5,79.2,79.4,79.4,40.2,36.7,84.3,TRUE,FALSE,
Macedonian,mkd_Cyrl,Cyrl,hrl,1,1,4.8,X,X,Indo-European,Europe 2,Europe,61.69,69.36,7.67,19.84,86.7,77.4,89.2,88.6,89.3,88,88.8,62.2,76.9,88.2,FALSE,FALSE,
Maltese,mlt_Latn,Latn,hrl,2,2,,,X,Afro-Asiatic,Europe 1,Europe,68.84,59.07,-9.77,18.93,69.4,74.5,78,57.2,59.5,59.3,60,63.5,73.1,89.2,FALSE,TRUE,
Meitei (Bengali script),mni_Beng,Beng,lrl,,1,,,,Sino-Tibetan,Asia 2,Asia,65.83,56.58,-9.25,-7.88,37.6,25.4,48.7,32.8,31.9,31,28.5,4,6.9,71.1,TRUE,TRUE,
Mossi,mos_Latn,Latn,lrl,,1,,,X,Atlantic-Congo,Africa,Africa,69.58,58.58,-11,0.92,52.2,41.4,59.5,35.1,33.9,36.9,35.3,14.3,7.5,44.1,TRUE,TRUE,
Maori,mri_Latn,Latn,lrl,1,1,,,X,Austronesian,Oceania,Americas/Oceania,61.19,61.85,0.66,-7.95,44,46.2,53.9,32.4,30,32.1,32.4,45.8,60,84.3,TRUE,TRUE,
Burmese,mya_Mymr,Mymr,lrl,1,1,1.6,X,X,Sino-Tibetan,Asia 3,Asia,65.73,65.63,-0.1,21.57,81.1,74,87.2,86.2,87,85.9,85.3,19,62.2,88.2,TRUE,FALSE,
Dutch,nld_Latn,Latn,hrl,4,4,29.3,X,X,Indo-European,Europe 1,Europe,59.26,65.8,6.54,24.8,88.1,76.7,90.6,89.1,89.5,88.7,89.2,68.9,79.2,88.7,FALSE,FALSE,
Norwegian Nynorsk,nno_Latn,Latn,lrl,1,1,49,X,X,Indo-European,Europe 1,Europe,63.2,62.03,-1.17,27.57,85.8,75.7,89.6,89.2,90.9,88.8,90.5,62.9,75.5,88.7,FALSE,FALSE,
Norwegian Bokmål,nob_Latn,Latn,lrl,1,1,49,X,X,Indo-European,Europe 1,Europe,61.04,63.78,2.74,26.22,86.4,76.7,90,88.7,89.9,88.5,90,64.6,78.1,87.3,FALSE,FALSE,
Nepali,npi_Deva,Deva,lrl,1,1,3.8,X,X,Indo-European,Asia 2,Asia,69.42,63.31,-6.11,25.19,85.1,78.8,88.5,88,87.9,87.4,88.5,62.6,68.2,88.2,TRUE,FALSE,
Nko,nqo_Nkoo,Nkoo,lrl,,0,,,,Atlantic-Congo,Africa,Africa,70.3,15.3,,,,25,23.2,26,,,,4.6,3.6,20.1,,,
Northern Sotho,nso_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,62.61,54.74,-7.87,0.06,50.2,47.4,54.8,38.9,37.5,38.6,38.3,35.6,42.7,86.3,TRUE,TRUE,
Nuer,nus_Latn,Latn,lrl,0,0,,,,Nilotic,Africa,Africa,57.58,50.71,-6.87,-6.81,41.4,26.3,43.9,31.9,27.7,27.1,29,18,7.2,44.6,TRUE,TRUE,
Nyanja,nya_Latn,Latn,lrl,,2,,,X,Atlantic-Congo,Africa,Africa,62.16,62.24,0.08,-1.54,53,60.9,60.7,46.7,47.9,46.9,49.2,46.8,45.7,82.8,TRUE,TRUE,
Occitan,oci_Latn,Latn,lrl,1,1,,,,Indo-European,Europe 1,Europe,60.88,60.27,-0.61,27.23,82.3,73,87.5,85.7,85.6,85.8,85.6,56.8,67.5,87.3,TRUE,FALSE,
Odia,ory_Orya,Orya,lrl,1,1,0.6,X,X,Indo-European,Asia 2,Asia,62.83,54.92,-7.91,34.28,82.1,72.7,89.2,84.3,84.3,84.6,83.8,56.2,67.1,87.7,TRUE,FALSE,
Pangasinan,pag_Latn,Latn,lrl,1,1,,,X,Austronesian,Asia 3,Asia,60.17,62.38,2.21,16.12,74,69.2,78.5,68.8,71.8,71.4,70.8,54.6,44.8,79.4,TRUE,TRUE,
Eastern Panjabi,pan_Guru,Guru,lrl,2,2,0.8,X,X,Indo-European,Asia 2,Asia,66.83,60.49,-6.34,25.81,82.5,75,86.3,84.4,84.6,84.9,83.2,67.6,70.9,88.7,FALSE,FALSE,
Papiamento,pap_Latn,Latn,lrl,,2,,,X,Indo-European,Americas,Americas/Oceania,64.55,68.9,4.35,15.3,77.5,69.8,84.2,72.8,73.9,74.2,71.6,56.3,61.7,86.8,TRUE,FALSE,
Southern Pashto,pbt_Arab,Arab,lrl,1,1,0.7,X,X,Indo-European,Asia 1,Asia,56.39,53.23,-3.16,28.57,80.5,68.5,81.8,80.7,81.9,81.7,80.8,52.3,55.3,86.3,TRUE,FALSE,
Western Persian,pes_Arab,Arab,hrl,4,4,111.6,X,X,Indo-European,Asia 1,Asia,65.72,68.36,2.64,22.64,88.6,83.6,91,90.4,90.3,89.7,90.2,64.3,76.4,86.8,FALSE,FALSE,
Plateau Malagasy,plt_Latn,Latn,lrl,1,1,0.2,X,X,Austronesian,Africa,Africa,61.09,58.18,-2.91,27.12,74.1,62.4,85.3,76.6,77.2,78.2,74.3,42.8,46.1,80.9,TRUE,FALSE,
Polish,pol_Latn,Latn,hrl,4,4,44.6,X,X,Indo-European,Europe 2,Europe,60.72,60.32,-0.4,29.98,88,76,90.3,89.8,91.5,90.7,90.7,66.8,77.4,86.3,FALSE,FALSE,
Portuguese,por_Latn,Latn,hrl,4,4,49.1,X,X,Indo-European,Europe 1,Europe,62.62,61.41,-1.21,28.19,89.6,75.7,89.6,88.9,89.5,88.7,90.1,61.7,77.8,85.3,FALSE,FALSE,
Dari,prs_Arab,Arab,lrl,0,0,,,X,Indo-European,Asia 1,Asia,64.65,74.12,9.47,14.98,86,81.9,89.1,88.6,88.9,89.2,89.7,59.5,72.7,85.8,FALSE,FALSE,
Ayacucho Quechua,quy_Latn,Latn,lrl,1,1,,,X,Quechuan,Americas,Americas/Oceania,53.72,47.91,-5.81,16.19,57.9,59.4,64.1,46.3,48.3,50.8,49.1,36.2,18.5,61.8,TRUE,TRUE,
Romanian,ron_Latn,Latn,hrl,3,3,61.4,X,X,Indo-European,Europe 2,Europe,57.25,59.18,1.93,31.12,87,77.9,90.3,90.3,91.2,89.9,91,66.5,75.1,89.7,FALSE,FALSE,
Rundi,run_Latn,Latn,lrl,0,0,,,X,Atlantic-Congo,Africa,Africa,62.66,63.12,0.46,-17.12,45.7,60.4,46,35.5,36.1,37.4,39,40.8,33.1,81.4,TRUE,TRUE,
Russian,rus_Cyrl,Cyrl,hrl,4,4,278,X,X,Indo-European,Europe 2,Europe,64.04,58.03,-6.01,31.17,88.8,79.2,89.2,88.4,90.3,88.1,89.7,62.8,80.2,87.7,FALSE,FALSE,
Sango,sag_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,63.97,68.82,4.85,-7.82,54.3,41.2,61,42.2,42,42.5,43.1,15.3,9.4,58.3,TRUE,TRUE,
Sanskrit,san_Deva,Deva,lrl,2,2,0.3,X,X,Indo-European,Asia 2,Asia,60.87,60.67,-0.2,25.23,81.6,69.3,85.9,80.8,80.9,82,82.5,37.8,53.3,83.8,TRUE,FALSE,
Santali,sat_Olck,Olck,lrl,1,1,,,X,Austroasiatic,Asia 2,Asia,55.63,11.86,-43.77,12.74,24.5,36.4,24.6,24.5,22.3,21.9,22.7,1.8,0,19.6,TRUE,TRUE,
Sicilian,scn_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,59.22,57.02,-2.2,24.08,75.8,64.3,81.1,68.1,69.7,72.1,70.6,43.9,58.1,87.7,TRUE,TRUE,
Shan,shn_Mymr,Mymr,lrl,0,0,,,,Tai-Kadai,Asia 3,Asia,63.92,41.1,-22.82,10.7,36.9,25.7,51.8,29.7,26.5,31,28.9,19.3,14.7,42.2,TRUE,TRUE,
Sinhala,sin_Sinh,Sinh,lrl,0,0,3.6,X,X,Indo-European,Asia 2,Asia,64.79,63.08,-1.71,24.52,85.8,77.9,87.6,86.2,87,87.4,87.2,22.5,70.3,85.8,FALSE,FALSE,
Slovak,slk_Latn,Latn,hrl,3,3,23.2,X,X,Indo-European,Europe 2,Europe,63.52,60.96,-2.56,28.64,87.1,76.2,89.6,89.2,90.2,88.7,88.8,62.6,71.7,86.8,FALSE,FALSE,
Slovenian,slv_Latn,Latn,hrl,3,3,10.3,X,X,Indo-European,Europe 1,Europe,62.71,59.37,-3.34,31.23,89.7,72.6,90.6,90.1,90.9,89.8,90,61.5,72.3,87.7,FALSE,FALSE,
Samoan,smo_Latn,Latn,lrl,1,1,,,X,Austronesian,Oceania,Americas/Oceania,62.93,64.09,1.16,-4.99,50.8,64.7,59.1,37.5,34.6,36,37.5,50.8,54.3,88.7,TRUE,TRUE,
Shona,sna_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,60.97,57.25,-3.72,-5.75,46.7,55.7,51.5,39.2,39.6,41,40.6,37.2,37.2,83.3,TRUE,TRUE,
Sindhi,snd_Arab,Arab,lrl,1,1,0.4,X,X,Indo-European,Asia 2,Asia,59.71,60.47,0.76,24.63,75.4,62.4,85.1,84.3,84.3,83.8,83.9,49.1,62.4,88.2,TRUE,FALSE,
Somali,som_Latn,Latn,lrl,1,1,0.4,X,X,Afro-Asiatic,Africa,Africa,61.2,57.83,-3.37,20.87,65.1,53.8,78.7,72.5,74.1,74,72.8,48,58.3,86.8,TRUE,FALSE,
Southern Sotho,sot_Latn,Latn,hrl,0,0,,,X,Atlantic-Congo,Africa,Africa,67.74,61.25,-6.49,-5.35,51.6,48.6,55.9,35.9,36.6,37.3,36.8,38.2,43.2,84.3,TRUE,TRUE,
Spanish,spa_Latn,Latn,hrl,5,5,53.3,X,X,Indo-European,Europe 1,Europe,58.28,65.86,7.58,22.74,87.4,78.5,88.6,89.1,89.7,88,87.9,67.5,80.6,85.3,FALSE,FALSE,
Sardinian,srd_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,59.81,64.94,5.13,15.56,74.3,66.7,80.5,67.7,71.2,71.6,69.7,36.1,50.6,83.3,TRUE,TRUE,
Serbian,srp_Cyrl,Cyrl,lrl,4,4,9.1,X,X,Indo-European,Europe 2,Europe,58.19,59.68,1.49,29.62,89.2,79,89.3,90.1,91.9,90.1,90.1,55.4,75.9,88.2,FALSE,FALSE,
Swati,ssw_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,58.03,59.78,1.75,-0.78,41.9,55.8,59,45.4,45.4,46,43.6,26.1,30.3,82.8,TRUE,TRUE,
Sundanese,sun_Latn,Latn,lrl,1,1,0.1,X,X,Austronesian,Asia 3,Asia,51.97,58.52,6.55,28.38,80.3,72.1,86.9,85.2,85.8,85.9,85.6,50.8,56.7,90.2,TRUE,FALSE,
Swedish,swe_Latn,Latn,hrl,4,4,12.1,X,X,Indo-European,Europe 1,Europe,61,63.27,2.27,27.33,88.3,77.3,90.6,90.1,91.2,89.8,90.8,66,75.5,89.2,FALSE,FALSE,
Swahili,swh_Latn,Latn,hrl,2,2,1.6,X,X,Atlantic-Congo,Africa,Africa,58.91,67.33,8.42,18.47,77,70.7,85.8,81.7,82.9,83.7,82.8,63.8,71.6,88.7,FALSE,FALSE,
Silesian,szl_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 2,Europe,57.48,54.48,-3,30.42,79.4,64,84.9,79.1,79.6,79.9,79,38.4,51.7,83.8,TRUE,FALSE,
Tamil,tam_Taml,Taml,lrl,3,3,12.2,X,X,Dravidian,Asia 2,Asia,66.53,59.67,-6.86,27.33,86.9,78.3,87,87.6,87.6,87.6,88.8,48.7,69.2,85.8,TRUE,FALSE,
Tamasheq (Latin script),taq_Latn,Latn,lrl,,0,,,,Afro-Asiatic,Africa,Africa,52.82,53.2,0.38,1.9,52.9,38.6,55.1,38.1,37,38.4,37.9,22.8,17.7,54.4,TRUE,TRUE,
Tamasheq (Tifinagh script),taq_Tfng,Tfng,lrl,,0,,,,Afro-Asiatic,Africa,Africa,52.1,19.57,-32.53,7.33,27.1,24.8,26.9,28,27.7,28,27.8,3.1,3.3,24.5,TRUE,TRUE,
Tatar,tat_Cyrl,Cyrl,lrl,1,1,,,X,Turkic,Europe 2,Europe,65.64,63.66,-1.98,18.24,75,78.1,81.9,69.8,72.3,71.6,71.1,46.1,61.9,88.2,TRUE,TRUE,
Telugu,tel_Telu,Telu,lrl,1,1,4.7,X,X,Dravidian,Asia 2,Asia,62.79,60.82,-1.97,27.98,81,76.3,88.8,87.3,87.7,86.8,87.1,60.4,68.4,87.3,TRUE,FALSE,
Tajik,tgk_Cyrl,Cyrl,lrl,1,1,,,X,Indo-European,Asia 1,Asia,66.98,59.7,-7.28,0.1,46.9,72.4,59.8,37.5,39,38.8,37.9,49.1,61.6,86.8,TRUE,TRUE,
Tagalog,tgl_Latn,Latn,hrl,3,3,,,X,Austronesian,Asia 3,Asia,55.19,65.83,10.64,20.37,84.7,74,86.2,85.6,85.6,86.8,86.7,67.9,76.9,89.7,FALSE,FALSE,
Thai,tha_Thai,Thai,hrl,3,3,71.7,X,X,Tai-Kadai,Asia 3,Asia,69.47,73.1,3.63,17.9,87.5,78.3,91,89.7,89.8,89.7,90.8,61.1,75.5,85.3,FALSE,FALSE,
Tigrinya,tir_Ethi,Ethi,lrl,2,2,,,X,Afro-Asiatic,Africa,Africa,57.04,49.63,-7.41,18.07,53.9,54.9,67.7,49.1,52.3,52.9,50,19.3,37.1,77.9,TRUE,TRUE,
Tok Pisin,tpi_Latn,Latn,lrl,1,1,,,X,Indo-European,Oceania,Americas/Oceania,69.99,71.58,1.59,7.82,75.9,76.2,79.4,66.1,67.6,67.2,66.5,63.8,60.8,87.3,TRUE,TRUE,
Tswana,tsn_Latn,Latn,hrl,2,2,,,X,Atlantic-Congo,Africa,Africa,61.92,59.32,-2.6,-0.82,47.8,59.5,58.5,34.6,33.2,33.7,35.6,31.8,42.8,86.3,TRUE,TRUE,
Tsonga,tso_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,63.8,63.38,-0.42,-6.18,52.7,51.4,57.2,35.9,37.5,38,38.8,34.2,29.4,83.8,TRUE,TRUE,
Turkmen,tuk_Latn,Latn,lrl,1,1,,,X,Turkic,Asia 1,Asia,65.9,62.48,-3.42,14.32,64.4,71.6,76.8,60.3,60.2,61.2,59.6,52.3,53.1,87.7,TRUE,TRUE,
Tumbuka,tum_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,75.92,70.71,-5.21,-4.71,53.8,49.9,66,36.1,38.9,39.9,38.1,28.5,32.6,82.8,TRUE,TRUE,
Turkish,tur_Latn,Latn,hrl,4,4,20.9,X,X,Turkic,Asia 1,Asia,65.4,70.25,4.85,20.15,87.4,77.6,90.4,89.8,91,89.9,91.1,66.1,78.2,87.7,FALSE,FALSE,
Twi,twi_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,63.43,59.19,-4.24,3.01,57.4,58.3,62.2,44,45.4,42.6,43.8,33,34.6,76,TRUE,TRUE,
Central Atlas Tamazight,tzm_Tfng,Tfng,lrl,,0,,,,Afro-Asiatic,Africa,Africa,61.18,12.32,-48.86,11.58,24.4,25,23.9,25.5,24.3,25.2,24.3,4.1,1.1,13.2,TRUE,TRUE,
Uyghur,uig_Arab,Arab,lrl,1,1,0.4,X,X,Turkic,Asia 1,Asia,69.58,68.39,-1.19,17.41,81.5,72.3,85.8,83.9,85,85.9,83.9,46.4,57.7,83.8,TRUE,FALSE,
Ukrainian,ukr_Cyrl,Cyrl,hrl,3,3,84.6,X,X,Indo-European,Europe 2,Europe,61.68,56.53,-5.15,35.07,89.6,76.5,91.6,91.7,92.2,90.6,92.2,67.1,79.2,87.7,FALSE,FALSE,
Umbundu,umb_Latn,Latn,lrl,0,0,,,X,Atlantic-Congo,Africa,Africa,54.93,53.64,-1.29,-0.04,48.8,29.9,53.6,35.8,34.8,36.8,35,15.2,7.7,54.4,TRUE,TRUE,
Urdu,urd_Arab,Arab,lrl,3,3,5.7,X,X,Indo-European,Asia 2,Asia,61.51,58.93,-2.58,28.67,84.3,69.1,87.6,86.2,86.9,86.5,85.8,64.3,76.8,85.8,FALSE,FALSE,
Northern Uzbek,uzn_Latn,Latn,hrl,3,3,0.7,X,X,Turkic,Asia 1,Asia,59.2,53.64,-5.56,32.06,82.1,74.2,85.7,87.5,87.4,87.6,87.3,57.6,60.3,85.3,TRUE,FALSE,
Venetian,vec_Latn,Latn,lrl,1,1,,,X,Indo-European,Europe 1,Europe,52.64,68.51,15.87,15.79,79.6,74.1,84.3,79.3,79.6,79.7,78.9,44.1,59.4,86.3,TRUE,FALSE,
Vietnamese,vie_Latn,Latn,hrl,4,4,137.3,X,X,Austroasiatic,Asia 3,Asia,69.73,75.5,5.77,15,88.3,80.3,90.5,90.4,91.2,89.9,91.2,63.3,75.7,87.3,FALSE,FALSE,
Waray,war_Latn,Latn,lrl,1,1,,,X,Austronesian,Asia 3,Asia,62.36,68.06,5.7,12.64,77.9,67.5,80.7,75.1,76.4,78.7,77.5,64.6,65.4,87.3,TRUE,FALSE,
Wolof,wol_Latn,Latn,lrl,2,2,,,X,Atlantic-Congo,Africa,Africa,52.67,49.82,-2.85,10.28,57.1,46.3,60.1,46.1,47.1,46.8,47.9,29.5,24.1,76.5,TRUE,TRUE,
Xhosa,xho_Latn,Latn,hrl,2,2,0.1,X,X,Atlantic-Congo,Africa,Africa,62.29,59.35,-2.94,11.35,54,58.4,70.7,62.3,62.1,64.3,60.7,37.7,48.2,87.3,TRUE,TRUE,
Eastern Yiddish,ydd_Hebr,Hebr,lrl,1,1,？,X,X,Indo-European,Europe 2,Europe,52.3,51.56,-0.74,31.34,57.5,48.6,82.9,72.2,72.8,74.4,70.5,33.2,44.8,87.3,TRUE,FALSE,
Yoruba,yor_Latn,Latn,lrl,2,2,,,X,Atlantic-Congo,Africa,Africa,62.55,45.22,-17.33,4.38,42.4,55.7,49.6,33.6,29.7,32.5,30.6,33.8,40.5,81.4,TRUE,TRUE,
Yue Chinese,yue_Hant,Hant,lrl,,3,,,,Sino-Tibetan,Asia 4,Asia,70.52,75.57,5.05,13.33,88.6,83.1,88.9,88.2,88.1,88.1,88,63.9,79.2,88.7,FALSE,FALSE,
Chinese (Simplified),zho_Hans,Hans,hrl,5,5,46.9,X,X,Sino-Tibetan,Asia 4,Asia,74.67,74.89,0.22,15.21,90.2,82.8,90.1,89.1,90.1,88.8,89.9,60.6,79.5,87.3,FALSE,FALSE,
Chinese (Traditional),zho_Hant,Hant,hrl,1,1,16.6,X,X,Sino-Tibetan,Asia 4,Asia,75.2,75.4,0.2,16.2,88.2,82.9,91.6,90.1,90.8,89.1,89.6,64.2,78.8,90.2,FALSE,FALSE,
Standard Malay,zsm_Latn,Latn,hrl,3,3,8.5,X,X,Austronesian,Asia 3,Asia,61.39,65.84,4.45,26.86,90,80.8,92.7,91.3,91.2,91.5,91.3,63.4,76.1,87.7,FALSE,FALSE,
Zulu,zul_Latn,Latn,hrl,2,2,,,,Atlantic-Congo,Africa,Africa,60.13,62.55,2.42,10.95,48.4,64.7,73.5,62,63,63.6,60.1,39.3,53.1,88.2,TRUE,TRUE,
,,,,,,,,,,,,62.3115122,59.86956098,-2.184313725,16.02715686,70.86078431,64.2395122,75.85707317,68.54731707,69.18627451,69.26813725,69.08578431,44.93170732,52.34243902,80.60536585,,,
