language_name,language_code,language_family,region,in_flores,LID_accuracy_gemma,LID_accuracy_gpt4o,LID_accuracy_gemini,TC_accuracy_gemma,TC_accuracy_gpt4o,TC_accuracy_gemini,RC_accuracy_gemma,RC_accuracy_gpt4o,RC_accuracy_gemini,NLI_accuracy_gemma,NLI_accuracy_gpt4o,NLI_accuracy_gemini,MT_xx_eng_chrf_gemma,MT_eng_xx_chrf_gemma,MT_xx_eng_chrf_gpt4o,MT_eng_xx_chrf_gpt4o,MT_xx_eng_chrf_gemini,MT_eng_xx_chrf_gemini
Ayacucho Quechua,quy_Latn,Quechuan,Americas,True,99.9,100.0,100.0,60.8,61.8,74.5,,,,50.0,50.3,52.7,26.0,22.1,31.3,26.3,37.7,31.1
Romanian,ron_Latn,Indo-European,Europe 2,True,100.0,99.9,100.0,87.3,89.7,89.2,91.2,92.8,91.4,65.7,64.0,67.0,66.1,64.2,66.6,65.8,67.7,65.7
Rundi,run_Latn,Atlantic-Congo,Africa,True,42.9,69.6,72.1,74.5,81.4,81.9,,,,,,,38.8,28.2,45.6,37.1,48.5,38.7
Russian,rus_Cyrl,Indo-European,Europe 2,True,99.7,99.7,99.8,87.7,87.7,87.3,92.7,93.8,90.6,76.3,76.3,76.0,59.8,57.0,60.8,58.4,62.0,58.9
Sango,sag_Latn,Atlantic-Congo,Africa,True,31.4,84.8,99.2,39.7,58.3,72.5,,,,,,,20.1,13.6,24.9,21.6,38.2,29.7
Sanskrit,san_Deva,Indo-European,Asia 2,True,96.7,99.3,97.3,78.9,83.8,84.3,,,,,,,43.5,11.7,46.8,26.0,50.7,28.0
Santali,sat_Olck,Austroasiatic,Asia 2,True,39.3,99.7,99.8,75.0,19.6,81.9,,,,,,,38.9,8.3,17.7,1.1,53.1,28.5
Sicilian,scn_Latn,Indo-European,Europe 1,True,93.6,99.2,99.5,83.3,87.7,88.7,,,,,,,59.9,39.2,62.7,41.0,64.1,34.3
Shan,shn_Mymr,Tai-Kadai,Asia 3,True,36.4,98.5,100.0,54.4,42.2,81.4,38.0,28.8,61.1,,,,28.5,6.9,22.9,15.5,45.6,25.4
Shipibo-Conibo,shp,Panoan,Americas/Oceania,False,,,,,,,,,,35.7,42.5,36.7,,,,,,
Sinhala,sin_Sinh,Indo-European,Asia 2,True,100.0,97.7,100.0,85.8,85.8,86.3,84.8,86.1,89.3,,,,55.9,38.4,57.5,31.3,62.5,49.4
Slovak,slk_Latn,Indo-European,Europe 2,True,98.7,100.0,100.0,85.3,86.8,91.2,90.2,92.8,90.8,,,,63.8,57.2,64.6,60.1,65.3,61.1
Slovenian,slv_Latn,Indo-European,Europe 1,True,99.2,99.8,100.0,85.3,87.7,90.7,92.0,94.1,93.3,,,,60.9,55.1,61.1,58.4,62.4,58.7
Samoan,smo_Latn,Austronesian,Oceania,True,99.9,100.0,100.0,81.9,88.7,87.3,,,,,,,48.2,41.5,55.1,49.1,57.8,49.8
Shona,sna_Latn,Atlantic-Congo,Africa,True,99.9,100.0,100.0,76.0,83.3,85.8,72.0,80.3,81.1,65.5,71.2,71.8,44.8,35.1,49.0,43.1,52.2,44.8
Sindhi,snd_Arab,Indo-European,Asia 2,True,100.0,99.9,99.9,83.8,88.2,88.2,79.1,85.6,87.0,,,,58.4,33.9,62.9,44.4,65.4,46.3
Somali,som_Latn,Afro-Asiatic,Africa,True,100.0,100.0,100.0,82.4,86.8,82.8,70.3,78.7,81.9,,,,50.3,37.4,53.8,41.4,56.1,41.0
Southern Sotho,sot_Latn,Atlantic-Congo,Africa,True,85.0,95.7,97.5,72.5,84.3,84.3,65.8,79.2,84.6,64.7,68.7,69.0,50.9,38.1,58.5,48.0,61.1,49.6
Spanish,spa_Latn,Indo-European,Europe 1,True,99.9,96.7,100.0,86.3,85.3,89.2,90.2,92.1,90.3,80.7,84.2,79.7,56.5,55.9,56.1,56.6,57.7,56.6
Sardinian,srd_Latn,Indo-European,Europe 1,True,97.8,98.5,98.7,79.9,83.3,87.3,,,,,,,60.6,42.3,63.9,42.4,68.5,51.1
Serbian,srp_Cyrl,Indo-European,Europe 2,True,99.7,99.8,99.5,87.7,88.2,88.2,90.9,92.7,90.8,,,,66.3,45.5,67.6,2.6,68.3,13.3
Swati,ssw_Latn,Atlantic-Congo,Africa,True,45.8,61.2,93.0,69.6,82.8,81.9,57.2,69.0,77.6,,,,40.7,28.6,48.3,35.1,52.5,35.7
Sundanese,sun_Latn,Austronesian,Asia 3,True,97.8,99.0,97.5,82.4,90.2,87.3,83.1,86.9,87.2,,,,58.0,41.5,61.9,47.6,63.5,46.7
Swedish,swe_Latn,Indo-European,Europe 1,True,100.0,100.0,100.0,88.7,89.2,89.2,90.9,92.4,89.6,,,,69.4,66.8,70.2,69.3,70.8,69.0
Swahili,swh_Latn,Atlantic-Congo,Africa,True,100.0,100.0,99.8,84.8,88.7,87.7,88.8,91.1,91.8,69.3,69.7,74.0,64.6,57.0,66.9,62.1,68.8,61.8
Silesian,szl_Latn,Indo-European,Europe 2,True,0.4,92.4,73.1,82.4,83.8,86.8,,,,,,,61.5,31.9,64.9,38.7,66.5,41.5
Tamil,tam_Taml,Dravidian,Asia 2,True,99.9,98.6,100.0,83.3,85.8,86.8,83.0,84.0,85.1,73.3,72.0,72.3,56.8,49.3,57.4,30.2,60.3,51.8
Tamasheq (Latin script),taq_Latn,Afro-Asiatic,Africa,True,1.3,1.5,38.1,49.5,54.4,56.9,,,,,,,23.5,15.8,26.4,18.4,27.1,15.7
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,Africa,True,0.0,0.0,0.1,24.0,24.5,34.8,,,,,,,16.4,5.3,18.2,11.4,20.7,11.2
Rarámuri,tar,Uto-Aztecan,Americas/Oceania,False,,,,,,,,,,37.8,40.2,35.5,,,,,,
Tatar,tat_Cyrl,Turkic,Europe 2,True,94.1,99.9,99.7,85.8,88.2,89.7,,,,,,,54.7,40.0,57.5,48.8,59.1,51.4
Telugu,tel_Telu,Dravidian,Asia 2,True,100.0,83.7,99.9,85.8,87.3,87.3,82.6,82.0,82.3,71.2,71.8,69.2,61.6,49.8,62.9,44.3,65.3,52.0
Tajik,tgk_Cyrl,Indo-European,Asia 1,True,99.9,99.2,100.0,85.3,86.8,89.2,85.2,88.2,88.0,,,,56.3,43.7,59.3,49.4,61.4,51.9
Tagalog,tgl_Latn,Austronesian,Asia 3,True,100.0,100.0,99.9,83.8,89.7,85.8,90.4,91.9,91.6,,,,67.1,61.3,68.3,63.4,69.5,63.5
Thai,tha_Thai,Tai-Kadai,Asia 3,True,99.9,99.4,100.0,86.8,85.3,84.8,85.9,89.0,84.7,73.5,73.2,69.3,56.5,47.1,57.5,49.5,59.0,49.6
Tigrinya,tir_Ethi,Afro-Asiatic,Africa,True,100.0,99.8,98.9,74.5,77.9,83.3,50.2,42.9,80.7,,,,34.9,10.1,35.5,10.4,52.2,23.0
Tok Pisin,tpi_Latn,Indo-European,Oceania,True,99.0,99.2,99.7,80.4,87.3,85.3,,,,,,,42.1,35.8,49.3,46.1,53.3,47.4
Tswana,tsn_Latn,Atlantic-Congo,Africa,True,98.0,99.3,99.1,66.7,86.3,83.3,57.9,73.8,80.0,,,,37.4,32.7,49.2,43.7,52.7,47.9
Tsonga,tso_Latn,Atlantic-Congo,Africa,True,96.5,99.0,99.8,61.8,83.8,83.8,48.4,75.6,80.4,,,,31.8,24.7,50.4,41.2,55.1,42.6
Turkmen,tuk_Latn,Turkic,Asia 1,True,99.9,99.5,99.9,86.8,87.7,88.2,,,,,,,55.6,38.6,59.9,48.6,61.8,52.2
Tumbuka,tum_Latn,Atlantic-Congo,Africa,True,0.2,4.0,24.8,73.0,82.8,83.3,,,,,,,32.3,27.0,39.4,35.5,43.0,36.1
Turkish,tur_Latn,Turkic,Asia 1,True,99.9,99.4,99.9,84.3,87.7,87.7,88.7,89.9,86.6,74.0,76.3,75.7,62.1,57.2,63.4,59.6,64.4,59.8
Twi,twi_Latn,Atlantic-Congo,Africa,True,99.5,99.9,99.9,61.8,76.0,85.3,,,,47.3,52.8,61.2,31.9,18.7,41.4,29.1,49.3,35.9
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,Africa,True,94.1,15.5,99.8,25.5,13.2,69.1,,,,,,,19.3,2.6,18.5,3.2,39.9,7.6
Uyghur,uig_Arab,Turkic,Asia 1,True,100.0,98.3,100.0,82.4,83.8,87.3,,,,,,,46.9,29.3,50.8,31.2,54.5,46.7
Ukrainian,ukr_Cyrl,Indo-European,Europe 2,True,99.9,99.9,100.0,85.3,87.7,89.2,91.8,93.1,91.6,,,,63.6,55.7,64.8,58.0,65.7,58.3
Umbundu,umb_Latn,Atlantic-Congo,Africa,True,5.0,39.5,76.1,40.2,54.4,57.8,,,,,,,21.5,15.1,26.6,21.2,30.6,21.5
Urdu,urd_Arab,Indo-European,Asia 2,True,99.5,97.4,99.8,84.8,85.8,89.2,84.4,89.7,89.0,64.8,69.3,65.5,58.6,44.4,60.6,47.7,62.1,48.2
Northern Uzbek,uzn_Latn,Turkic,Asia 1,True,100.0,100.0,99.7,85.3,85.3,86.3,88.2,91.1,90.4,,,,58.2,44.9,60.0,51.9,62.2,48.9
Venetian,vec_Latn,Indo-European,Europe 1,True,88.0,97.1,96.0,83.8,86.3,85.8,,,,,,,64.3,41.0,65.9,43.5,67.2,45.9
Vietnamese,vie_Latn,Austroasiatic,Asia 3,True,100.0,99.8,99.9,86.8,87.3,87.7,89.8,92.7,88.6,76.2,77.5,77.7,59.7,58.7,60.9,61.3,62.0,60.8
Waray,war_Latn,Austronesian,Asia 3,True,90.6,97.5,99.5,81.4,87.3,86.8,85.2,89.3,90.2,,,,64.3,47.9,68.0,55.2,71.3,57.3
Wolof,wol_Latn,Atlantic-Congo,Africa,True,96.4,99.7,99.5,61.3,76.5,79.9,29.7,41.2,62.4,42.8,45.3,51.3,25.5,17.8,40.5,23.1,45.8,27.8
Xhosa,xho_Latn,Atlantic-Congo,Africa,True,76.9,91.6,92.5,78.9,87.3,86.3,69.6,79.8,81.9,66.7,70.0,70.0,52.4,35.8,59.4,44.5,61.7,46.5
Eastern Yiddish,ydd_Hebr,Indo-European,Europe 2,True,100.0,99.8,100.0,82.4,87.3,86.3,,,,,,,68.9,30.3,73.3,33.6,74.3,34.6
Yoruba,yor_Latn,Atlantic-Congo,Africa,True,99.9,99.8,100.0,73.5,81.4,84.8,47.6,63.6,71.8,57.3,61.7,63.8,36.8,21.0,45.0,22.4,48.7,27.6
Yue Chinese,yue_Hant,Sino-Tibetan,Asia 4,True,99.5,100.0,99.5,84.8,88.7,85.3,,,,,,,55.6,15.7,57.2,22.3,58.3,17.0
Chinese (Simplified),zho_Hans,Sino-Tibetan,Asia 4,True,99.4,99.9,99.7,87.3,87.3,88.2,91.3,91.9,85.2,74.5,76.0,77.2,55.0,31.0,56.2,33.1,57.2,32.8
Chinese (Traditional),zho_Hant,Sino-Tibetan,Asia 4,True,99.3,100.0,99.7,87.3,90.2,87.3,90.4,92.6,88.6,,,,53.5,24.8,55.0,27.3,56.1,27.9
Standard Malay,zsm_Latn,Austronesian,Asia 3,True,96.3,96.6,92.5,86.3,87.7,88.7,90.6,92.8,90.7,,,,65.7,63.5,68.1,67.0,69.1,65.4
Zulu,zul_Latn,Atlantic-Congo,Africa,True,97.9,99.5,99.5,79.9,88.2,87.7,68.7,76.1,80.2,66.7,67.0,68.7,55.3,40.8,59.9,48.3,62.9,52.3
