question,gemma3_reply
ብመሰረት እቲ ጽሑፍ፡ ካብዞም ዝስዕቡ ንንእሽቶ ኣገላልጻ ኣብ ግምት ዘየእቱ ኣየናይ እዩ?,"ጽሑፉ ብፍታሕ ኣብ ማይክሮ-ኤክስፕሬሽን ብሃልፋ ጽሑፍ ይወሃብ፣ እቶም ብንእሽቶ ኣገላልጻ ኣብ ግምት ዘየእቱ ኣየናይ የብሉ ኣይርኽቡን። ጽሑፉ ኣብ ኣብታ ሓንጐል ጉድኣት ዘረባ ኺርድኡ ዘይክእሉ ሰባት ኣብ ንቕንዕናኦም ብልክዕ ኪግምግሙ ኽእሉ ይሕብር። ስለዝበለ ኣብቲ ጽሑፍ፡

* **A: እንዳተዛረብካ ከለኻ ናብ ካልእ ምጥማት** -  ኣይተሓተተን።
* **B: ግንባርካ ምጽዋግ** -  ኣይተሓተተን።
* **C: ብፍጥነት ቋሕ ሰም ምባል** -  ኣይተሓተተን።
* **D: በኣጻብዕትኻ ጽቡቕ ምባል** -  ኣይተሓተተን።

ብሰንክቲ ጽሑፉ ኣብተን ማይክሮ-ኤክስፕሬሽን ዝርዕይ ሓሳብታት ኣሎ፣ እቲ ኣብ ግምት ይውስኽ ምስቲ ኣብቲ ኣፈላላይ ስንቂታት ኣይተሓተተን። ስለዝበለ ምንም ውድቀት የለን። 

**ሰንኪ መልስ የልለይን።** ጽሑፉ ዝተሓተተ ዝሃንጺ የልለይን።"
ካብዞም ዝስዕቡ ብዛዕባ ትርጉም ንእሽቶ ኣገላልጻ ትኽክል ዘይኮነ ኣየናይ እዩ?,"The correct answer is **A: እተቐድሐ ቪድዮታት ዓብዪ ምምሕያሽ ኣምጺኡ እዩ** (Translated: Pre-recorded videos are a great tool for learning).

Here's why:

* **The passage focuses on *interpreting* micro-expressions in *real-time* to understand deception and human behavior.** It discusses how people can learn to read these subtle facial cues.
* Option A suggests learning from pre-recorded videos is a great tool. While videos *could* be used for learning, the passage doesn't emphasize this. It's about the natural ability and skill of reading live expressions.
* **Let's look at why the other options are correct based on the text:**
    * **B: ቅኑዕ ትርጉም ሓሶት ከለሊይ ይኽእል እዩ** (Accurate interpretation can prevent mistakes). This aligns with the idea that understanding micro-expressions can help detect lies.
    * **C: ዘረባን ኣብ ገጽ ዚንበብ መግለጺታትን ይትርጐም** (It interprets fleeting and facial expressions). This is the very definition of what micro-expression interpretation does.
    * **D: ቅንዕና ንምግምጋም ኪሕግዝ ይኽእል** (It can help confirm suspicion).  Oliver Sacks' example shows how recognizing micro-expressions can help people who can't rely on verbal cues to form opinions.

Therefore, **A** is the only option that isn't directly supported by the information in the passage. It's a general statement about learning, but doesn't relate to the specific topic of micro-expression interpretation.



"
ብውጽኢት ተሃድሶ ካብዞም ዝስዕቡ ኣየናይ እዩ ዝያዳ ኣገዳሲ ዝኾነ? ,"The correct answer is **B: ፍልጠት ምዝውዋር (Knowledge Transfer)**.

Here's why:

* **The passage focuses on how the *way* knowledge is acquired and used has changed.** It states that the capacity for acquiring and learning knowledge has increased, and the methods for acquiring information are different. This points to a shift in *how* knowledge is transferred.

Let's look at why the other options are incorrect:

* **A: ናይ ውልቀ-ሰብ ተዘክሮ (Individual Memory):** While the passage mentions the lack of need to memorize things individually (because of written records), it doesn't say individual memory is more important. It says it's *less* needed.
* **C: ናይ ጽሑፍ ተዘክሮ (Written Memory):** The passage points to the *result* of written records (less need for personal memorization), but it's not the core change being discussed. Written records are a *tool* for the change, not the change itself.
* **D: ሓበሬታ ምርካብ (Information Gathering):**  The passage acknowledges that *how* information is gathered is different, but the central idea is the evolution of *knowledge itself* and the capacity to use it effectively.



Therefore, **B: ፍልጠት ምዝውዋር (Knowledge Transfer)** is the best answer as it encapsulates the central theme of the passage – the altered methods of acquiring, applying and sharing knowledge."
ብውጽኢት ተሃድሶ፡ ካብዞም ዝስዕቡ ኣብ ኣየናይ እዩ ዝነኣሰ ትዂረት ተገይሩ?,"The correct answer is **B: ፍልጠት ምርካብ (Knowledge acquisition)**.

Here's why:

* **The passage focuses on how the nature of knowledge itself has changed.** It states that the capacity for learning and acquiring knowledge has increased, leading to a different kind of knowledge base than before. The core theme is a shift in *how* we gain and utilize knowledge.
* Let's look at why the other options are incorrect:
    * **A: ናይ ውልቀ-ሰብ ተዘክሮ (Individual memory)** - The passage mentions memory (specifically textual recording) but as a *result* of the change in knowledge, not the change itself. It contrasts a lack of past individual recall with the ability to now record information externally.
    * **C: ናይ ጽሑፍ ተዘክሮ (Textual memory)** - Similar to A, this focuses on a consequence (recording knowledge in text) not the root change.
    * **D: ምዝርጋሕ ሓበሬታ (Information distribution)** -  While implied, the passage is more about the *nature* of the knowledge being distributed, not the distribution itself.

The passage's central point is the evolution of *how* we acquire knowledge (ፍልጠት ምርካብ), driven by advances in learning and organization. Therefore, option B is the most accurate reflection of the passage's core message."
ካብዞም ዝስዕቡ ብቐጻሊ ርክብ ንምምስራት ኢንተርነት ንትኽጥቀም ዘይድርኽ መነቓቕሒ ኣየናይ እዩ?,"Correct answer: **B: ምስ ስድራ ቤትካ ምርኻብ**

Here's why:

The text emphasizes the internet's role in connection, knowledge sharing, and community building.  It highlights how the internet facilitates interactions *beyond* immediate, physical relationships.

Let's look at why the other options are incorrect:

*   **A: መራኸቢ ንግዲ** (Supporting debates) - The internet is definitely used for debates and discussions.
*   **C: ጕዕዞ ምርምር ምግባር** (Conducting research) - The internet is a primary tool for research.
*   **D: ምስ ሓደስቲ ሰባት ምልላይ** (Meeting new people) - The internet facilitates meeting new people.

**P: (Translation)** The internet blurs the lines between public and private. The unique characteristics of the internet lead to different forms of presentation. For example, sharing knowledge and connecting with people are said to require morality when using the internet (James Etal, 1995). ""Increased participation"" and ""sustained connection"" by Egmin and McCord (1998) were found to be new challenges in responding to user demands of websites.

**Q: (Translation)** What is *not* a situation in which the internet can be used to facilitate sustained connection, as discussed in the passage?

Therefore, ""spending time with family at home"" doesn't rely on the specific connecting power of the internet as described in the passage, making it the correct answer."
ካብዞም ዝስዕቡ ንውልቃዊ ተሳትፎ ኢንተርነት ንትኽጥቀም ዘይድርኽ መነቓቕሒ ኣየናይ እዩ?,"ንውልቃዊ ተሳትፎ ኢንተርነት ንትኽጥቀም ዘይድርኽ መነቓቕሒ ኣብዚ ኣስዒቡ ኣብ መልክዕታት ኣበሃላ ይርአ። ስለዝተተሓተተ ኣብ ሓደ ወገን ኣሰራርሓ መግቢ ምርኣይ ምዃኑ ብዘይኣተሓተተት ብኢንተርነት ንህጻናትን ኣዋቂኣቶን ይሓትት። 

ንተሓታትፎም መላዕ: **A: ኣሰራርሓ መግቢ ምርኣይ**።

ኣጫዊት መራኸቢታት፡

*   **B: ኣብ ናይ ምይይጥ ቦርድ ብኢንተርኔት ምጥቃዕ:** ንህጻናትን ኣዋቂኣቶን ትሕዝቶ ይርክብ።
*   **C: ብዛዕባ ፍርያት ክንክን ጥዕና ምርምር ምግባር:**  ናይ ግል ተሳትፎ ይፈጥር።
*   **D: ገንዘብ ምቍጽጻር:**  ንሕግደትን ትሕዝቶን ይርክብ።"
ምዕራባዊ ኣውሮጳ ኣብ ጽልዋታት ምትእምማን ኣቋሪጻ ናይ ገዛእ ርእሳ ኣገባብ ከተማዕብል ዝጀመረት መዓስ እዩ?,"The correct answer is **A: ኣብ ከባቢ መወዳእታ ማእከላይ ዘመን**.

The text states: ""ኣብ ኣጋ መወዳእታ ማእከላይ ዘመን ምዕራባዊ ኣውሮጳ ናይ ገዛእ ርእሶም ኣገባብ ከማዕብሉ ጀመሩ."" This directly answers the question.

Let's look at why the other options are incorrect:

* **B: ኣብ መዋእል ቢዛንታይን** - The text mentions Byzantium but says the Western powers began to assert themselves, not that it happened within Byzantium.
* **C: ድሕሪ ማእከላይ ዘመን ዳርጋ 25 ዓመት ዝኸውን** - This refers to the length of terms, not when Western Europe gained independence.
* **D: ኣብ መበል 11 ክፍለ ዘመን** -  The text states the Gotics were prominent from the 10th-14th centuries, but doesn't link the rise of Western Europe's autonomy to the 11th century specifically."
ክዳውንቲ ንምእሳር መላጉም ምጥቃም ናይ ምንታይ ውጽኢት እዩ? ,"The correct answer is **C: ኲናት መስቀላዊያን (Crusades)**.

Here's why:

The text states, ""ሓደ ኻብቲ ኣብቲ ግዜ እቲ እተራእየ ዓበይቲ ምዕባለታት ሰባት ወተሃደራት ክርስትና ንምእጓድ መተርኣስ ኪጥቀሙ ጀመሩ"" (One of the major events of that time was people starting to use religious justifications to launch Crusades).  This directly links the use of faith to justify action with the Crusades.

Let's look at why the other options are incorrect:

*   **A: ዘበነ ጎቲክ (Gothic style)** - While the text mentions the growth of architecture, it doesn't connect it to the use of faith to justify expeditions.
*   **B: መዋእል ቢዛንታይን (Byzantine structure)** - The text notes an early influence *from* Byzantium, but doesn't relate it to the Crusades.
*   **D: ማእከላይ ዘመን (Middle Ages)** - This is a general time period, not a specific result of using faith to justify travel.



"
ብመሰረት እቲ ጽሑፍ፡ ካብዞም ዝስዕቡ ንኣከባብያዊ ጉዳያት ክዓቢ ዝኽእል ነባሪ ፍታሕ ከም ዝዀነ ጌርካ ዝርአ ኣየናይ እዩ?,"The correct answer is **A: እተጋነነ ምርጫታት ኣነባብራ ምቍጽጻር** (Exaggerated choices of behavioral modification).

Here's why:

* **The passage emphasizes adapting to our environment, anticipating future problems, and building resilience.** This aligns with the idea of *changing behaviors* to cope with the world around us.
* **The passage critiques solely relying on psychological/behavioral solutions (""ዋሕደኛ ፍታሕ ጥራሕ እንተዘይደሊና..."")** It suggests that while these are *like* symptomatic treatment, they don't address the *root causes* of problems.
* **The passage highlights the significant changes brought about by science and technology**, and increasing complexity. This implies we're being pushed into ever more behavioral adaptations.

Let's look at why the other options are incorrect:

* **B: ንጥፈታት ማሕበራዊ መራኸቢታት (Strengths of social connections):** While social connection is important, the passage doesn't primarily focus on this.
* **C: ጠንቂ እቲ ጉዳያት ምልላይ (Identifying the cause of problems):** The passage says behavioral solutions often *don't* identify root causes.
* **D: ተሓባባሪ ምንቅስቓስ ኣከባቢ ምዃን (Being an accompanying environmental movement):** The passage talks about adapting *to* the environment, not necessarily being part of an environmental movement.

Therefore, the passage suggests we are being encouraged to make excessive or exaggerated changes to our behavior to deal with a rapidly changing world."
ብመሰረት እቲ ጽሑፍ፡ ካብዞም ዝስዕቡ መፍትሒታት ንኣከባብያዊ ጉዳያት ከም ምልክት ሕክምና ጌርካ ዘይርአ ኣየናይ እዩ?,"The correct answer is **B: ቀንዲ ጠንቂ እቲ ጉዳያት ምጥፋእ**.

Here's why:

* **The passage states:** ""...ግዝያዊ ፍታሕ ጥራሕ እንተዘይደሊና፣ ሱር ናይ ኩሉ ጸገማት ረኺብና ካብ ስራሕ ወጻኢ ክንገብሮም ኣለና።"" This translates to ""...if we don't want only superficial solutions, we need to remove the root cause of all problems and take them out of operation.""

Let's look at why the other options are incorrect:

* **A: ኣብ ንጥፈታት ማሕበራዊ መራኸቢታት ምስታፍ (Participating in social movements):** The passage mentions engaging with the community but doesn't frame it as a *solution* separate from addressing the core issues.
* **C: ብዛዕባ እተጋነነ ኣነባብራ ርእይቶታት ምሃብ (Providing exaggerated/inflated perspectives):** The passage points to increasing complexity, not a need for distorted views.
* **D: ኣከባብያዊ ምሹእ ዝኾነ ናብራ ምንባር (Becoming a skillful navigator of community issues):** While the passage encourages being prepared and adaptable, it's again presented as a capability *to enable* solving the core problems, not a solution in itself.



"
ሃይማኖታዊ ሓሳባት ነይሩዎ ዘይኮነስ ቐንዲ ጉዳይ ምስ ሚዛን ስልጣን እተተሓሓዘ ምዃኑ ዝንገረሉ ኣብ ኣውሮጳ ዝተኻየደ ናይ መጀመርታ ውግእ ኣበየነይቲ ሃገር እዩ ነይሩ?,"The correct answer is **D: ስጳኛ**.

Here's why:

The passage states: ""እቲ ኣብ ስጳኛ እተኻየደ ውግእ ቀንዲ ጕዳይ ሚዛን ስልጣን ዘስዓቦ ቐዳማይ ውግእ እዩ ነይሩ."" This directly translates to ""The war that took place in Spain was the first war whose main issue was the balance of power."" 

The question asks for the first war in Europe where the main issue was the balance of power, not religious ideas. The passage explicitly identifies this as occurring in Spain.



"
ሓድሓደ ግዜ ኣየናይ ውግእ እዩ ናይ መወዳእታ 'ሃይማኖታዊ ውግእ' ተባሂሉ ዚጽዋዕ?,"The correct answer is **A: ኲናት ሰላሳ ዓመታት**.

The passage explicitly states: ""ስለዚ እዚ ናይ ሰላሳ ዓመት ጦርነት ናይ መወዳእታ ሃይማኖታዊ ውግእ ተባሂሉ ተመግቡ።"" (Therefore, this Thirty Years' War was called the last religious war.)

Let's look at why the other options are incorrect:

*   **B: ኲናት ሚእቲ ዓመታት** - The passage does not mention a ""Hundred Years' War.""
*   **C: ተኸታታሊ ኲናት ስጳኛ** - While the Spanish war is mentioned as an early conflict about the balance of power, it's not called the last religious war.
*   **D: ኲናት ሓድሕድ ስጳኛ** - Similar to C, it doesn't fit the description in the passage.



"
ካብዞም ዝስዕቡ መዳያት ናይ ካቶሊካዊት ቤተ-ክርስትያን ብጥንቃቐ ዘይተመርመረ ጉዳይ ኣየናይ እዩ?,"The correct answer is **A: ምክፍፋል ሃብቲ ኣብ ውሽጢ እቲ ቤተ-ክርስትያን ግቡእ እንተድኣ ነይሩ** (Whether the distribution of wealth within the church was justified).

Here's why:

* **The passage directly discusses the wealth of the Catholic Church and its accumulation.** It mentions how the Church received money as a means to alleviate suffering and poverty, but also how this wealth and power were questioned by many. The text implies a critique of how this wealth was *used* and *distributed*. The question of whether this distribution was *just* is a natural extension of this concern.

Let's look at why the other options are less likely:

* **B: ቀንዲ ሰረተ-ሓሳባት ሃይማኖት ይመሓየሹ እንተድኣ ነይሮም** (Whether the main beliefs of the faith were challenged): The passage doesn't suggest core beliefs were the main point of contention, but rather the *application* of those beliefs through wealth and power.
* **C: ኣብ ውሽጢ እቲ ቤተ-ክርስትያን ዝነበረ ማእከል ስልጣን** (The center of power within the church): The passage explicitly states the main center of power was in Rome, so this wasn't an unexamined issue.
* **D: ቀንዲ ሰረተ-እምነት ናይቲ ቤተ-ክርስትያን ይማላእ እንተድኣ ነይሩ** (Whether the basic tenets of the faith were consistent): Similar to B, the text focuses on practical issues of power and wealth, not fundamental doctrinal inconsistencies.



"
ብመሰረት እቲ ጽሑፍ፡ ኣብ ቨርሳይለስ እተቐትለ መን እዩ?,"The correct answer is **C: ሓደ ኣባል እቲ ጭፍራ** (One of the mob members).

The text states: ""ሓደ እዋን ሓደ ኣባል እቶም ጭፍራ ንርእሲ ሓደ ኣብ ቨርሳይል እተቐትለ ሓላዊ ንጉስ ኣብ ቅድሚ እታ ዝፈርሀት ንግስቲ እናወዛወዘ ኣወዛወዞ።"" This translates to ""At one point, one of the mob members taunted a recently deceased nobleman who had been killed in Versailles, in front of the frightened queen.""

Let's look at why the other options are incorrect:

*   **A: ሓንቲ ኻብተን ኣብ ዕዳጋ ዝነበራ ኣንስቲ** (One of the women in the mob) - The text specifically says a *member of the mob* (a male), not a woman.
*   **B: ንጉስ ሉዊስ XVI** (King Louis XVI) - The text says the mob was taunting someone *who had been killed* - they didn't kill the king.
*   **D: ሓደ ሓላዊ** (A nobleman) - The text says the mob member was taunting the *deceased* nobleman, not that the nobleman was the one who did the taunting.



"
ካብዞም ዝስዕቡ ንንጉስን ንንግስትን በቶም ጭፍራ ዘይተገደዱ ኣየኖት እዮም?,"The correct answer is **C: ርእሱ እተሰየፈ ሓለዋ ምርኣይ** (Seeing the head of the executed loyalist).

Here's why:

The passage states that a member of the crowd showed the head of a loyalist killed in Versailles to Queen Marie Antoinette. This is the only instance described where the crowd directly inflicted psychological distress on the King and Queen without physical violence.

Let's look at why the other options are incorrect:

*   **A: መስኰት ሰረገላኦም ኪኽፈት ከሎ** (When the reins of their carriage were being broken): This was an act of control and intimidation, but not direct torment.
*   **B: ካብ ቨርሳይል ብሃንደበት ምውጻእ** (Being forced out of Versailles): This was the beginning of their forced relocation, but not a specific act of torment *by* the crowd.
*   **D: ናብ ፓሪስ ንምምላስ እተገብረ ጉዕዞ** (The journey made to return to Paris): This is simply the act of traveling, not a tormenting event in itself.



"
ካብዞም ዝስዕቡ ብሰንኪ እቲ ኣብ ብሪጣንያ እተገብረ ዘይልሙድ ውግእ ባሕረኛታት ዘይኮነ ኣየናይ እዩ?,"The correct answer is **A: ጀርመን ተመሳሳሊ ሜላታት ውግእ ክትጥቀም ዝነበራ ድሌት** (Germany's intention to use similar tactics of war).

Here's why:

The passage states that Britain anticipated Germany would offer a similar response to the unrestricted submarine warfare it was enacting, mirroring Britain's own actions. This anticipation stems from the fact that Germany hadn't strongly protested Britain's actions, suggesting a willingness to employ the same strategy.

Let's look at why the other options are incorrect:

*   **B: ዘይተሳተፋ መራኽብ ኣብ ጉድኣት ኣተዋ** (Neutral ships entered the trenches) - The passage discusses threats to neutral ships but doesn't say they *entered the trenches*.
*   **C: ኣብ ኣህጉራዊ ሕጊ ለውጢ ተገይሩ** (Changes were made to international law) - While the passage mentions international law, it focuses on Britain's strategy being *justified* by existing laws, not on *changing* those laws.
*   **D: ወሰንቲ ኣቕሑ ብቐሊሉ ክርከቡ ኣይኽእሉን ነይሮም** (Enemies found it difficult to counter the advances) - This isn't the main point of the passage. The passage focuses on the *strategy* and potential *response*, not the difficulty of countering it.



"
ኣየናይ ምሉእ ሓሳብ እዩ ነቲ ሓይሊ ባሕሪ ብሪጣንያ ኣብ ልዕሊ ጀርመን ዝገበረቶ ዕንቅፋት ብልክዕ ዘይገልጾ?,"The correct answer is **A: ምስ ኣህጉራዊ ሕጊ ዚጻረር እዩ ነይሩ (It was contrary to international law)**.

Here's why:

The passage explicitly states: ""ብሪጣንያ ንጀርመን ካብ ባሕሪ ኸልከልታ እዚ ዕንቅፋት እዚ በቲ ኣብ ዝሓለፈ ኽልተ ዘመን እተገብረ እተፈላለየ ኣህጉራዊ ውዕላት እተኣታተወ ሓፈሻዊ ተቐባልነት ዘለዎ ኣህጉራዊ ሕጊ ዝጥሕስ እኳ ነበረ...""  This directly translates to ""This blockade by Britain against Germany violated international law as established by various international agreements made in the past two centuries...""

Let's look at why the other options are incorrect:

* **B: ጀርመን ናይ ሳብማሪን ውግእ ክተካይድ ኣለዓዒሉዋ (Germany was expecting to reciprocate with submarine warfare):** While the passage *mentions* Germany anticipating a similar response, it's not the main point about the blockade itself.
* **C: ንዋሕዚ ቀረባት ኣቕሑ ጀርመን ኣቋረጾ (Germany broke the agreements):** The text doesn't say Germany broke any agreements, only that the blockade violated international law.
* **D: ገለልተኛታት መራኽብ ኣብ ሓደጋ ኸም ዘይኣትዋ ዘረጋግጽ ነበረ (It ensured neutral ships weren’t endangered):** The passage states the opposite - that preventing full access to the ocean (even for neutrals) was dangerous.



"
ብመሰረት እቲ ጽሑፍ፡ ማልቲፕል ስክለሮሲስ ዝብሃል ሕማም ዝያዳ ኣብ መን እዩ ክፍለጥ ዝኽእል?,"The correct answer is **A: ኣብ ጓል 32 ዓመት ኣንስተይቲ**.

Here's why:

The text states that MS affects ""women, particularly those in their prime reproductive years.""  Option A (a 32-year-old woman) falls within that demographic.

The text also mentions MS is more common in women than men (""twice as likely""). While not directly related to the age in the options, this further supports a female answer.

Let's look at why the other options are incorrect:

* **B: ኣብ ወዲ 15 ዓመት ተባዕታይ:** The text doesn't suggest MS is common in teenagers.
* **C: ኣብ ወዲ 43 ዓመት ተባዕታይ:** While men can get MS, it's less common than in women.
* **D: ኣብ ጓል 10 ዓመት ኣንስተይቲ:** MS is rare in children.
"
ብመሰረት እቲ ጽሑፍ፡ እቶም ስሩዕ ንጥፈታት ዝገብሩ ተሳተፍቲ ንምንታይ ዝያዳ ደገፍ የድልዮም?,"The correct answer is **A: ብዛዕባ ቃንዛ ዘሎ ኣሉታዊ ኣረኣእያ (Negative attitudes about trauma)**.

Here's why:

The text specifically states: ""እቶም ኣብ ስሩዕ ንጥፈት ዝሳተፉ ዝያዳ ደገፍ የድልዮም ነበረ፣ ደገፍ ዘድለዮም ድማ ኣብ ኣሉታዊ ኣራእያ ናይ ቃንዛ..."" (Those who participated in rapid processing needed more support, and their support needs were in negative views of trauma...).

Let's look at why the other options are incorrect:

*   **B: ታሕተዋይ ሕቖ (Underlying rights):** The text doesn't mention anything about rights.
*   **C: ጭንቀት (Depression):** While the text mentions mental distress, it specifically highlights the need for support *related to negative attitudes about trauma*.
*   **D: ፍርሒ (Fear):** Fear is mentioned in the text as a symptom, but the support needed isn't *for* the fear itself, but for how they view the traumatic experience."
ብመሰረት እቲ ጽሑፍ፡ መብዛሕትኡ ግዜ ጸወቲ ጉራዴ ብኸመይ እዩ ዝጽወት?,"The correct answer is **D: ብመልክዕ ኽልተ ሰባት**.

Here's why:

The text explicitly states the sport is ""played mainly as a two-person team, with one aiming to knock the other down."" This directly answers the question of how the sport is most often played.

Let's look at why the other options are incorrect:

* **A: ብዘመናዊ መልክዕ** - While the sport is modern, this doesn't describe *how* it's played.
* **B: ብደረጃ ዩኒቨርሲቲ** - The text mentions university play, but it doesn't say this is how it's *most* often played.
* **C: ብደረጃ ኦሎምፒክ** - The text mentions Olympic competition, but not as its primary form of play.



"
ብመሰረት እቲ ጽሑፍ፡ ካብዞም ዝስዕቡ እቲ ዝሓየለ ሓባሪ ውሽጣዊ መርዚ ኣየናይ እዩ?,"The correct answer is **D: ንእተኣዘዘልካ ከኒና መትሓዚ ጠርሙዝ** (Taking too much medication or poisoning).

Here's why:

The text states: ""The most serious sign of internal injury could be signs of internal poisoning, taking too much medication, or self-harm."" 

Let's look at why the other options are incorrect:

* **A: ዕግርግር ምባልን ረስኒን** (Dizziness and confusion) - While these *can* be symptoms of internal injury, the text doesn't present them as the *most* serious.
* **B: ተምላስን ረሃጽን** (Vomiting and diarrhea) - Similar to A, these are symptoms but not the most critical according to the text.
* **C: ምጭባጥን ከቢድ ቃንዛ ከስዐን** (Bruising and severe pain) - These indicate injury, but the text highlights poisoning/overdose as more concerning.

Therefore, **D** is the only option that directly corresponds to the most serious sign mentioned in the passage."
ብመሰረት እቲ ጽሑፍ፡ ንሓደ ግዳይ ክትግምግሞ ኸለኻ እቲ ናይ መጀመርታ ግቡእ ስጉምቲ እንታይ እዩ?,"The correct answer is **A: ነቲ ስፍራ ምዕዛብ (Exploring the area)**.

Here's why:

The text states: ""P: ነቲ ግዳይ ንምምርማር፣ ድሕነትካ ንምርግጋጽ ፈለማ ነቲ ቦታ ፍጻመ ክትምርምሮ ኣሎካ."" which translates to ""To investigate the crime, before you take any action to ensure your safety, you need to explore the area."" 

This clearly indicates that the first action to take when investigating a crime is to explore the area.

Let's look at why the other options are incorrect:

*   **B: ነቲ ግዳይ ምቕራብ (Approaching the victim):** The text doesn't mention this as the first step.
*   **C: ኣቃውማ ናይቲ ግዳይ ምጽራይ (Identifying the perpetrators):** Identifying perpetrators comes *after* investigation, not as the first step.
*   **D: ሓገዝ ተጸበ (Request for help):** While getting help can be important, it's mentioned as something you do *if* you get stuck, not the initial step.



"
ካብዞም ዝስዕቡ ሓሳባት ነቲ ግዳይ ናይ ምምርማር መስርሕ ብልክዕ ዘየንጸባርቕ ኣየናይ እዩ?,"The correct answer is **D: ዝዀነ ይኹን ቀይሕ ባንዴራ እንተልዩ ኸተስተብህለሉ ፈትን**.

Here's why:

* **The passage emphasizes automatically avoiding approaching if a red flag is present.** The core of the instruction is to be cautious and not approach if something indicates danger (""red flag""). The purpose of the investigation is to *determine* if the area is safe.

Let's look at why the other options are incorrect:

* **A: ናይ ገዛእ ርእስኻ ጉድኣት ኣብ ምጽዋር ኣይትጨነቕ (Don't worry about your own shortcomings):** This is irrelevant to the task of investigating and ensuring safety.
* **B: ቅድሚ እቲ ግዳይ ነቲ ስፍራ ገምግሞ (Examine the area before the task):** While good practice generally, it doesn't directly address the *automatic avoidance* of red flags mentioned in the passage.  The passage highlights what to do *during* the approach, not just beforehand.
* **C: ኣቃውማ ናይቲ ግዳይ ተዓዘብ (Seek guidance from the task owner):**  Seeking guidance is helpful, but the passage focuses on *your* ability to assess and respond to immediate dangers, not relying on others.



"
ካብቲ ሰውራ ህዝቢ ፈረንሳ ዘበገሶ ለውጥታት ኣብቶም ሸቃሎ ደርባዊ ኣፈላላይ ዓብዪ ጽልዋ ዘሕደረ ኣየናይ እዩ?,"The correct answer is **A: ነታ ሃገር ዝግበር ደገፍ ወሲኹ (It garnered support for governing the country)**.

Here's why:

The passage states the French Revolution inspired people in other countries (the ""oppressed"") to start their own revolutions. This directly implies they *supported* the idea of governing themselves, meaning the revolution garnered support for change.

Let's look at why the other options are incorrect:

* **B: ትኹረት ካብ ደርቢ ናብ ውድድር ተቐይሩ (Focus shifted from rebellion to competition):** The passage doesn't say the focus changed to competition. It emphasizes the spread of revolutionary ideas.
* **C: ስነ-ሓሳብ ኣባል ሰልፊ ሪፓብሊክ ተቐባልነት ረኸበ (The ideology of a self-governing republic gained acceptance):** While true, this is *a result* of the support, not the direct impact on the oppressed.
* **D: ሓድሽ ኣገባብ መለክዒ (Introduced new tactics):** The passage focuses on the inspiration and spread of the *idea* of revolution, not new methods.



"
ንሰውራ ህዝቢ ፈረንሳ ስዒቡ፡ ኣብ ወተሃደራዊ ዀነ ኣብ ካልእ ሞያ ዝተረኽበ ዓወት ኣብ ምንታይ እተመርኰሰ ኣይነበረን?,"The correct answer is **A: ናይ ስራሕ ኣሳልጦ (Work ethic/Diligence)**.

Here's why:

The text states: ""ወተሃደራት እውን ኣብ ክፍሊ ሰራዊት ዘይኰነስ ኣብ ካይላበር ስለ እተመርኰሱ ተመሳሳሊ ነገር እዩ ኣጋጢምዎም.""  This means the soldiers (wotehadert) also faced similar challenges because they excelled *outside* of military roles - implying a strong work ethic and diligence in whatever they did. 

Let's look at why the other options are incorrect:

* **B: ደርቢ (Debt):** The text mentions debt relating to France, but not as a reason for the soldiers' success.
* **C: ትምኒት (Ambition):** While ambition could play a part, the text focuses on actual achievement through hard work.
* **D: ኣፈሙዝ (Charm/Skillfulness):**  This isn't supported by the text.  The success is attributed to their ability to perform well in civilian professions, not personal charm.



"
ኣብ ዝማዕበላ ሃገራት ንዝህሉ ዘይዕጉብነት ምኽንያት ከም ዝኾነ ዝንገረሉ ህዝባዊ ኣገልግሎት ኣየናይ እዩ?,"The correct answer is **C: ህዝባዊ መጓዓዝያ (Public Transportation)**.

Here's why:

The passage discusses problems with infrastructure like water supply and bridges in developing countries, and asks why infrastructure systems fail so often. The question specifically asks about a public service often cited as being deficient in developing countries.  Public transportation (ህዝባዊ መጓዓዝያ) fits this description perfectly.

Let's look at why the other options are incorrect:

* **A: ጽሬት ማይ (Water Supply):** While mentioned in the passage as an example of failing infrastructure, it's not a *general* public service cited as being consistently lacking.
* **B: ህንጸት ቢንቶ (Waste Management):**  This is a service, but not usually the *primary* one discussed when talking about issues in developing countries.
* **D: ትምህርቲ (Education):**  Education is crucial, but the passage focuses on *physical* infrastructure failures.



"
