question,gemini_reply
"Kolanda bansango na maloba wana, na mae malandi nini oyo esengeli nyama primate aliya pona kosilisa “likambo ya vitamine?”","The correct answer is **C: Banyama mikiemikie oyo baliaka matiti** (Small animals that eat plants).

Here's why:

* **The problem:** Primates in the rainforest struggle to get enough amino acids from the plants available. This deficiency leads to negative consequences.
* **Human solution (usually):** Humans easily get protein from grains and vegetables, but primates struggle to digest these without cooking them.
* **Primate solution (implied):** Small animals provide easily digestible protein with essential amino acids. The passage specifically mentions ants, termites, and larvae as examples. Thus, eating small, herbivorous animals would solve the ""vitamin issue"" by providing those missing amino acids.

The other options are incorrect because:

* **A: Matiti ya kokauka (Dry grasses)** The passage states that primates struggle to get enough amino acids from the available plants.
* **B: Bandunda ya mobesu (Raw vegetables)** Same as above.
* **D: Nzete ya fololo (Flowering plants)**  Also plants that do not provide enough essential amino acids for primates.
"
"Kolanda maloba wana, kati ya makambo oyo elandi likambo nini esalemaka te pona kozanga aside amino ya ntina?","The correct answer is **C: Mikakatano pona kokola**.

Here's why:

*   **The passage explicitly mentions:**
    *   ""koniokwama makasi na makanisi"" (severe psychological suffering)
    *   ""kolia malamu te"" (poor nutrition/eating poorly)
    *   ""sukasuka liwa"" (eventually death)
    *   ""bilei euti na banyama (fourmis, termites, maki) esilaka malamu na libumu"" (digestion problems if no essential amino acids)

*   **The passage does NOT mention:**
    *   ""Mikakatano pona kokola"" (Problems growing).
    While it's possible growth could be affected indirectly, the passage doesn't explicitly state this as a direct consequence of amino acid deficiency in primates."
Lolenge nini bakitani ya molende mbala na mbala bamonisaka kozala nabango kati ya likita?,"Based on the definition of a subculture provided in statement P, the best answer is:

**D: Na nzela ya kosalela ndenge ya kobika lokola elembo (Through using a shared way of life as a symbol)**

Here's why:

*   Statement P emphasizes that subcultures often express membership through clear symbols and behaviors. Option D, ""using a shared way of life as a symbol,"" aligns directly with this. Shared ways of life often include slang, fashion, behaviors, and values. These elements are symbols that represent the subculture.
Let's look at why the other options are less suitable:
*   **A: Na nzela ya komeka komiyoka nsomi na kati (By trying to feel internally free):** While subcultures can offer a sense of freedom, this is more of a consequence than a defining characteristic of demonstrating membership.
*   **B: Na nzela ya kolanda bondimeli ya moto nyonso nzinganzinga (By following the beliefs of everyone around):** Subcultures often deviate from mainstream beliefs, so following the beliefs of everyone around would not generally demonstrate their belonging to the subculture.
*   **C: Na nzela ya kondima mibeko ya likita (By agreeing to group norms):** Though Subculture members may follow certain norms, those norms are those of the subculture. Also, Statement P says that often subcultures do not comply with mainstream laws.

**Therefore, option D is the most accurate because it aligns directly with the definition of how subculture membership is expressed.**"
"Kolanda lisolo oyo epesami na maloba wana, nini ekoki kokomela mwana oyo azali konyokwama na likama ya rasisme oyo azali komonana na bizaleli ya matata.","Maloba ya liboso elobi ete koyeba mposa ya mosuni ekoki kotinda bana bákóma na bizaleli ya lolenge moko to mosusu. Soki mwana azali konyokwama na likambo ya rasisme mpe azali komonisa bizaleli ya matata, likambo ya solo mingi ezali ete *akobanda* kozala na bizaleli ya matata.

Yango wana, eyano ya malamu ezali:

**B: Mwana akoki kobanda kozala na bizaleli ya matata**
"
"Kolanda na maloba wana, mwana oyo azali na boyebi ya makambo ya rasisme akoki kozala na bizaleli nini kati ya mae malandi?","The best answer is **C: Lolenge na ya kobika na bana misusu** (How he/she interacts with other children).

Here's why:

* **The passage states:** Children develop an understanding of race early and that this understanding can influence their behavior. Specifically, it mentions how minority children might react differently in school based on their awareness of racial stereotypes.
* **Connecting to the question:** If a child is aware of racism, that awareness will significantly impact how they interact with children of different races, and possibly even children of their own race.  They might be more cautious, defensive, assertive, or withdrawn, depending on their experiences and understanding.

Let's look at why the other options are less suitable:

* **A: Ekolo to mposo ya nzoto ya mukie oyo aponi lokola yaye (The race or skin color of the child he/she chooses as his/her own):** While racial awareness *might* influence who a child identifies with, it's not the primary or most direct impact. A child might be forced to identify with their race even if they don't want to because of racism.
* **B: Bizaleli naye (His/her behavior):** This is too broad.  The passage is about *specific* behavior influenced by racial awareness, particularly in a social context. Option C is more precise.
* **D: Lolenge naye ya kolimbola mposo ya nzoto (His/her way of explaining skin color):** This is about understanding and describing race, which is related but not the core issue. The passage is more focused on the *impact* of racial awareness on behavior, not just understanding it.

Therefore, **C** is the most direct and relevant consequence of a child being aware of racism, according to the passage.
"
"Kolanda maloba wana, na mae malandi nini ekoki te komonana bokolisi ya mwana “feral” to mwana ya zamba?","The correct answer is **B: Lolenge makasi ya kosolola**.

Here's why:

*   The passage describes ""feral"" children as those who lack socialization. They are often fearful of or uninterested in humans. They might even exhibit animal-like behaviors.
*   Options A, C, and D are all consistent with the characteristics of a feral child: surviving alone, preferring isolation, and lacking social skills.
*   Option B, ""Lolenge makasi ya kosolola"" (A strong way of communicating) is *not* a characteristic associated with feral children. In fact, they would likely have difficulty with communication.

Therefore, B is the answer choice that *cannot* be seen as a sign of the upbringing of a ""feral"" child."
"Kolanda maloba wana, kati ya mae malandi nini elimboli malamu bizaleli ya zamba na bana ?","The correct answer is **B: Bizaleli ya zamba ekoki kouta na kozanga kobika na bato.**

Here's why:

*   **P** describes how ""feral"" children develop unique behaviors due to a lack of human interaction and, in some cases, being raised by animals. Therefore, it is reasonable to assume that bizaleli ya zamba, or feral traits, can arise from living without other people.
*   **A** The text says ""soki bakokoli mwana na banyama oyo eza te bato, mwana wana azalaka na bizaleli (na makambo ya nzoto) oyo ekokani na oyo ya banyama oyo babaelaki ye, na ndakisa kobanga bato to kosepela na bango te"". Therefore, A is wrong.
*   **C** The passage mentions that some feral children were confined by their parents, but it is not the only reason. Other reasons were children being abandoned or running away.
*   **D** The passage does not mention that all feral traits come from mental problems."
"Kolanda maloba wana, na mimesano oyo elandi ya wapi ekokani te na boloni oyo babengaka « agriculture de subsistance » ?","Malamu, tokotalela maloba oyo bapesi mpe mibeko oyo topona.

Maloba ya P elobi ete agriculture de subsistance ezali mpona kokokisa bamposa ya moloni mpe ya libota na ye. Ezali mpe kolobela ete mbala mingi ezalaka pete mpe esalelaka mayele ya kala.

Na kotalela yango, talakisa ete:

*   **A: Kotalela mingi kolona oyo ekokokisa bosenga ya moloni na libota naye:** Oyo ekokani na agriculture de subsistance.
*   **B: Kolona bilei pona kotekela basusu:** Oyo ekokani te. Agriculture de subsistance ezali mpona kolia yango moko, kasi te mpona koteka.
*   **C: Kotalela kolona ebele na esika ya kotalela ba metodes ya makasi:** Oyo ekoki kokokana na agriculture de subsistance (mbala mingi bazali kokoba kolona mingi na ndenge ya kala).
*   **D: Koluka bambuma oyo ezali ya esika moloni abikaka:** Oyo ekoki mpe kokokana na agriculture de subsistance (mbala mingi bazali kolona biloko oyo ezali kobima na esika bazali).

Na yango, eyano oyo ekokani te na agriculture de subsistance ezali **B: Kolona bilei pona kotekela basusu**.
"
Na mae malandi nini elimboli malamau bizaleli ya agriculture de subsistance ?,"Eyano malamu ezali **D: Ezali kokoba kosalema na baloni na bamboka misusu**.

Pezameli emonisi polele ete, ""Na masolo ya kala, basali mingi ya bilanga bamipesaka na kolona kaka biloko bakolya mpe eza kaka bongo na mikili mingi ya bobola."" Yango emonisi ete kolona biloko oyo babengaka agriculture de subsistance ezali kokoba kosalema na baloni na bamboka misusu.
"
Kokende na musee ekoki kozala na lolenge nini ya tourisme?,"The correct answer is **C: Tourisme ya koyeba bokoko**.

Here's why:

The passage describes ""kokende kotala esika mpona koyeba bokoko"" as visiting places to learn about history and culture. Museums are prime locations for experiencing history and culture. Therefore, visiting a museum falls under the category of ""tourisme ya koyeba bokoko"" (cultural tourism).
"
"Kolanda maloba wana, nini ekoki kozala ya litomba pona basali mobembo ya tourisme ya recreation?","The passage states that recreational tourism involves going to places different from daily life to relax and have fun. Therefore, the best answer is:

**B: Kozua bopemi na misala na bango ya mikolo nyonso (Taking a break from their daily activities)**

Here's why the other options are less suitable:

*   **A: Komizindisa mobimba na bango na kibokoko ya esika (Completely immersing themselves in the culture of the place):** This is more characteristic of cultural tourism, as the passage mentions.
*   **C: Komona bamboka na bisika ya malonga (Seeing villages in beautiful places):** While recreational tourism might involve seeing beautiful places, the primary goal is relaxation and enjoyment, not necessarily seeing specific types of locations.
*   **D: Kososola istware ya Esika (Understanding the history of the place):** This is also more related to cultural tourism."
Nini epatemi na kati ya maloba wana lokola eloko oyo esungaki pona kokitisa kobanga mbongwana na kati ya lingomba ya esika?,"The correct answer is **D: Koyeba istware ya y a lisanga (Knowing the history of the association)**.

The passage explicitly states that ""Kokundwela bizaleli ya kala ya kokamba mosala pe bolongi oyo bazwaki esalisaka bato na kosala mbongwana ya sika..."" which translates to ""Remembering the past characteristics of leadership and the successes they achieved helps people make new changes..."" This directly supports the idea that knowing the history of the association helps reduce fear of change. While understanding the other options could contribute to a positive environment, the text *specifically* links historical awareness to reducing fear of change.
"
"Kolanda na maloba wana, kozua bososoli ya lisaponge nayo ekosunga moto na nini?","The correct answer is **A: Kokitisa kobanga ya mbongwana** (Reduce the fear of change).

The passage specifically states: ""Masolo wana ya kolonga ekitisaka bobangi ya mbongwana, ebimisaka mpe makanisi malamu mpona mbongwana ekosalema na mikolo ezoya."" (Those stories of success reduce the fear of change and generate good ideas for future changes.)

Let's look at why the other options are less likely:

*   **B: Kolendisa bizaleli ya malamu** (Strengthen good behaviors): While understanding the past can *influence* behavior, the passage focuses more directly on overcoming the fear of change.
*   **C: Kozua esika ya kobika na kati ya lisanga** (Finding a place to live within the association): The text doesn't imply the ability to find housing.
*   **D: Kokolisa bizaleli ya kimombongo** (Developing commercial qualities): The passage makes no mention of commercial or economic qualities.

Therefore, the passage primarily emphasizes that understanding historical successes helps to **reduce the fear of change.**"
Na maloba mae malandi ya wapi elimboli malamu mayele ya koyekola oyo ebengami postmoderne?,"Response D: Biloko ya mobimba ezalaka te na ngonga ya boyekoli.

**Explanation**

The passage emphasizes the freedom and multiplicity of learning styles in postmodern thought. It highlights the idea that learning is a relationship between the learner and the knowledge they are receiving, and that much of the information we consume through media is not directly applied or integrated into our lives in a holistic way.

Let's break down why the other options are less suitable:

*   **A: Balolenge misusu ya koyekola ezali na litomba koleka misusu (Some ways of learning are more useful than others):** The passage doesn't explicitly argue that some methods are *more useful*. It focuses on the idea that learning is varied and personalized.
*   **B: Koyekola esengelaki kotalela mingi mingi biloko oyo tondimi ete tokomona yango kokokisama (Learning should primarily consider things we believe we will see fulfilled):** The passage doesn't focus on anticipating fulfillment but emphasizes the vast amount of information we consume without necessarily expecting to apply it directly.
*   **C: Balolenge misusu ya koyekola ezali malamu koleka misusu (Some ways of learning are better than others):** Similar to option A, the text doesn't establish an explicit hierarchy of learning methods, but emphasizes freedom in the choice of the learning method.

Therefore, option **D (Biloko ya mobimba ezalaka te na ngonga ya boyekoli / Wholes are not necessary during the study period)** best captures the essence of the passage's perspective on postmodern learning, which is about the lack of wholeness in what we learn from television."
Maloba nini na mae malandi elimboli malamu te mayele ya koyekola oyo ebengami post modern learning approach ?,"The best answer is **B: Balolenge misusu ya koyekola esengeli kosalema mingi mingi koleka misusu (Some ways of learning should be done more than others).**

Here's why:

* **The passage emphasizes the abundance of learning methods in the postmodern approach.** It states that ""the best way to learn is multiple."" This directly contradicts the idea that *some* ways are superior and should be prioritized.

Let's look at why the other options are not as strong:

* **A: Lolenge ya koyekola bansango ezali ebele (The way to learn information is abundant).** This is TRUE and directly supported by the text. It speaks to the variety of learning methods.

* **C: Lolenge ya koyekola etalaka mingi moyekoli mpe malakisi oyo ezali kopesama (The way of learning looks at the learner and what is being taught).** This is also TRUE and aligns with the passage's statement that ""Learning is done in a relationship between the learner and the knowledge they are being given.""

* **D: Malakisi oyo tokoki te kosalela yango mokolo moko ezali na litomba koyekola (Lessons that we cannot use one day are beneficial to learn).** While the passage *implies* a potential criticism of learning things with no practical application, it doesn't explicitly state that those lessons are still *beneficial*. This option requires more interpretation.

Therefore, option B is the *most* contradictory to the central idea of the passage regarding the postmodern learning approach. It incorrectly suggests a hierarchy of learning methods, while the text champions the diversity and individualistic nature of learning in the postmodern era."
"Sima ya kolamuka yomoko na ngonga ya pongi, nini na mae malandi ekoki kosala eloko somgolo pakala na eteni ya bokati pongi?","The correct answer is **B: Kokende na toilete mpe kozonga na mbeto mbala moko** (Going to the toilet and returning to bed immediately).

Here's why:

*   **The passage explains ""Kokata pongi"" (sleep inertia) and methods to achieve it:** It states that it involves waking up and falling back asleep after a short period (10-60 minutes). One mentioned method is to consume liquid before bed to require a bathroom visit which helps break the sleep cycle.
*   **Options analysis:**
    *   **A: Kotanga pona ngonga moko na ndambu liboso ya kozonga na pongi** (Reading for an hour and a half before going back to sleep): This is too long and goes against the short interruption timeframe described in the passage.
    *   **B: Kokende na toilete mpe kozonga na mbeto mbala moko** (Going to the toilet and returning to bed immediately): This aligns with the strategy of disrupting sleep slightly and then quickly returning to bed to initiate the ""kokata pongi"".
    *   **C: Koboma alarme nayo mpe kolala sima ya ngonga tukumibale** (Turning off your alarm and sleeping for twelve hours): This defeats the purpose of waking up and falling back asleep within a specific timeframe.
    *   **D: Kolamuka komela mai na molangi pembeni ya mbeto nayo** (Waking up and drinking water from a bottle next to your bed): This doesn't necessarily break the sleep cycle like the need to get up and go to the bathroom would.

Therefore, option B is the only one that fits the description of an action likely to facilitate ""kokata pongi"" as explained in the passage."
Nini na mae malandi ekokani te na bolimboli ya kokata pongi?,"The correct answer is **D: Sima ya kolamuka litomba ezali ya kolala lisusu sima ya bangonga mibale to deux heures du temps**.

Here's why:

*   The definition of ""kokata pongi"" in the passage describes waking up for a short period (10-60 minutes) and then going back to sleep. Option D says you sleep after two hours, which is too long.

Let's look at why the other options are more aligned with the passage:

*   **A: Ekoki kolandana na biorhythme:** The passage mentions ""biorythme"" as a factor in methods related to waking up for the process.
*   **B: Litomba ezali ya komilamusa yomoko mobimba:** The passage says using a quiet alarm helps you *avoid* waking up completely. However, you still wake up partially. So, it is still similar.
*   **C: Esalemaka na ngonga nayo ya kolala mikolo nyonso:** The passage does not say that it happens every day. So the response does not directly align with the passage. However, as a routine sleep cycle, it can happen every day. So, it is similar.

**Therefore, option D is the only one that contradicts the information presented in the passage.**"
"Na tango boongo ezali komeka kozua ba ndoto ya malamu mingi mingi, nini ebakisamaka?","The correct answer is **A: Ba REM**.

The passage states: ""Ntina monene oyo likambo wana esalemaka ezali bandolo ya solo oyo ebakisaka molai ya ngonga kati na REM"" which translates to ""The main reason this happens is because of the true cycles that increase the duration of time in REM.""
"
Kozala na ba ndoto ya malamu ebele ekoki kosala nini na nzoto?,"The correct answer is **B: Kokitisa ba REM butu moko na moko**.

Here's why:

The passage states that multiple vivid dreams increase the length of REM sleep. However, because there are fewer REM periods during the night, the periods of deep, restful sleep become shorter and less effective. This implies that the *number* of REM periods is reduced, even though their *length* may be increased. Therefore, multiple vivid dreams reduce the REM periods in a night.
"
"Kolanda maloba wana, ekipe ya komonana na ekipe ya komonana te ekokani lolenge nini?","The correct answer is **A: Nyonso mibale esengeli kosala mosala lolenge moko**

Here's why:

*   The passage states: ""Baekipe oyo emonanaka te bazalaka na mbeko ya kosala malamu ya ndenge moko neti ba ekipe nyonso"" (Virtual teams have the same responsibility to perform well as any team).
* This clearly means they need to perform the same type of work, even if they are virtual.

Let's look at why the other options are incorrect:

*   **B: Nyonso mibale ezali na lolenge na yango kosala misala ya mokolo na mokolo** - While implied, the passage's core comparison is about the responsibility to do similar work, not specifically how they structure their day-to-day tasks. The virtual teams have a freedom to set there on scedual.
*   **C: Nyonso mibale bapesaka raport na lisanga ya bakambi moko oyo emonanaka te** - The passage states virtual teams are those whose members report up into a management team, but makes no such claim about traditional teams
*   **D: Nyonso mibale esalaka na ngonga moko**- The passage says that they can work in various ours depending on the managment."
"Kolanda malaoba wana, maloba nini ezali ya solo te na mae matali ekipe yakomonana te na ya komonana?","The correct answer is **A: Baekipe ya komonana ezuamaka na litomba mingi.**

Here's why:

* **The passage focuses on characteristics of remote/virtual teams and contrasts them with traditional (visible) teams.** It *doesn't* explicitly state or imply that visible teams are inherently more beneficial. It just points out differences.
* **B: Baekipe ya mosika ezuamaka lokola esika ya bokutani pona baekipe ya komonana** - While not directly stated, it's *implied* that remote teams can *facilitate* connections within visible teams, as the passage mentions they help integrate their visible team members. This doesn't necessarily mean they *are* a meeting place, but it's closer to the passage's meaning.
* **C: Baekipe ya komonana ezalaka na lolenge ya kosala yango moko mukie oyo ekokani te na balisanga ya mosika** - The passage states ""...there are some small differences."" This supports this statement.
* **D: Mbongwana ya bangonga ekoki kozala malamu pona baekipe ya komonana te** - The passage says that visible teams may have schedules that can be monitored, implying more rigidity than remote teams.

Therefore, only **A** makes a statement that cannot be confirmed within the text.
"
Nini na mae malandi ezali te eloko oyo mateya ya bolukiluki etalelaka?,"The correct answer is **A: Bamposa ya sika oyo ekokisamaka na kimokolo**.

Here's why:

* **The passage focuses on:**
    * Factors that influence motivation and pleasure.
    * Internal needs and desires that develop over time.
    * External factors and environments that influence behavior.
    * Established theories like Maslow's hierarchy of needs and Herzberg's two-factor theory.

* **Option A, ""Bamposa ya sika oyo ekokisamaka na kimokolo"" (New needs that are satisfied in adulthood),** while potentially related to overall human development, is **not explicitly the focus** of the research described in the passage. The passage emphasizes pre-existing needs that have manifested over time, so new needs aren't the focus.

The other options are directly addressed:

*   **B: Lolenge nini esika ya kofanda ebongolaka bizaleli ya moto (How environment changes behavior)** - The text mentions that the environment can push someone to act or not act.
*   **C: Bamposa ya kati (Internal needs)** - The text references internal needs
*   **D: Kososola oyo bato balingaka (Understanding desires)** - The text mentions that it tries to explain what pushes someone to do something or makes them happy.

Therefore, the only answer that isn't addressed is A.
"
Kati na mae malandi nini oyo ezali te elongo na rule of third?,"Maloba ya solo ezali D: Kotiya bosembo kati ya foto.

Rule of Thirds ebongisaka komposition, te bosembo. Pona yango, D nde eyokani te na Rule of Thirds.
"
Nini na mae malandi ekoki te kolimbola format 35mm ya foto ?,"Pongi ya malamu ezali C: Ezali na talo ya bokeseni koleka ba formats ebele.

Liyebisi likomi te elobi eloko na ntina ya talo ya format 35mm. Liloba likomi na biloko mosusu nyonso :

*   **A: Ezali kaka na production:** Likomi elobi ete kaka bakosali yango lelo.
*   **B: Endimamaki na apareil ya foto:** Likomi elobi ete molai na yango euti na midele ya biloko ya apareyi ya foto nimerique.
*   **D: Ezali format oyo eyebani na mokili mobimba:** Likomi elobi ete eza mingi na mokili."
"Kolanda maloba wana, lolenge basali bazali komatisa qualite yakosala ba camera digital, lolenge nini zoom ekomi malamu?","The correct answer is **C: Bafoto nabango ekokani na botalatala ya point focal fixe** (Their photos are comparable to those of a fixed focal point lens).

The passage states that zoom lenses are becoming better because they are ""helping camera zooms to take better photos that are comparable to the photos taken by non-movable zooms."" This directly corresponds to option C. The other options are incorrect based on the provided text. The passage lists drawbacks of zoom lenses that the manufacturers are working to improve.
"
"Kolanda bansango ya maloba wana, ngonga nini camera ya zoom ekoki kolingama koleka camera fixe?","Eyano ya malamu ezali: **D: Soki ozali koluka biloko ebele ya point focal**

**Ndimbola:**

Texté elobi ete zoom ya camera eza na likoki ya kozwa bafoto ya kitoko oyo ekokani na bafoto oyo bazwaka na ba zoom oyo eninganaka te. Oyo emonisi ete zoom ya camera eza malamu mpo na bato oyo bazali koluka biloko ebele ya point focal.
"
Na mae malandi nini ekoki te kozala bolimboli ya solo ya Mysticisme?,"The correct answer is **D: Molende pona koluka experience personel ekokani na bondimi misusu ebele mpe lolenge ya kobondela.**

Here's why:

The passage explicitly states that mysticism can *differ* from other religions and worship practices in its approach to personal experience. Option D claims that the pursuit of personal experience *aligns* with other religions, which contradicts the text.

Options A, B, and C all align with the description of mysticism in the passage.
"
"Kolanda maloba wana,nini na mae malandi ezali te motuya ya Mysticisme ?","Eyano malamu ezali:

**B: Koluka kososola na nzela ya ba experiences na basusu**

Explication:

Mysticisme etali nde molongo ya moto moko na elimo, solo, to Nzambe. Ezali koluka te kososola na nzela ya ba expériences ya bato basusu, kasi nde na nzela ya makambo moto ye moko akutani na yango. Bandeko mosusu nyonso (A, C, mpe D) ezali kotambola na mitinda ya mysticisme.
"
"Kolanada maloba wana, lnani akokaki kobanda lisanga ya baloni bilanga?","Answer: C: Bato ya Maori kouta Polynesie
"
"Kolanda maloba wana, lisanga oyo ebundisaki Bamaos bazalaki bato ya yambo kobika na esika nini ?","The correct answer is **C: The Chatham Islands**.

Here's why:

The passage states: ""Ezalaki na ekolo mosusu na bisanga ya Chatham, ezalaki ba Maori oyo bayaki wana longwa na Nouvelle-Zelande. Bamibengaka bango moko ba Moriori po ezalaki na mwa bitumba kuna kasi na suka, basilisaki ba Moriori.""

This translates to: ""On the Chatham Islands, there were Maori who came from New Zealand. They called themselves Moriori and there were some fights there, but in the end, they destroyed the Moriori.""

Therefore, the group that fought the (original) Moriori lived on the Chatham Islands."
Na lolenge nini bosaleli ya Pureland method ya origami epesi litomba na mazita?,"Eyano ya malamu ezali **B: Mosali lizita esali ete mayele ya kosalela moto ekoba makasi.**

Polozi elobi ete Pureland origami esalemi mpo na kosalisa bato oyo bayebi malamu te kosala muvema na misisa. Yango elingi koloba ete method oyo ezali pɛtɛɛ mpe esengi mayele mingi te, yango wana esalisi mpo mayele ya moto ebakisama. Ba réponses misusu nde ndenge wana te.
"
Na mae malandi nini oyo elimboli malamu te Pureland Origami?,"Maloba oyo ebongi ezali:

**A: Ezali pona basalimazita oyo bazali na boyebi makasi**

Ndenge P elobi, Pureland Origami esalemaki nde mpona kosalisa bato oyo bayebi mosala malamu te. Yango wana A nde ekeseni na ndenge elobami na P.
"
"Kolanda maloba wana, esika nini oyo elandani te na civilization Indus Valley ?","The correct answer is **B: The Sarasvati River**.

Here's why:

*   The passage states that some scholars *think* the civilization should be called the Indus-Sarasvati civilization because it was also near the now-dry Sarasvati River, but this is presented as an alternate, and not universally accepted, name.
*   The other options are all mentioned as definite parts of the Indus Valley Civilization: Harappa (as the first excavated site), northern Afghanistan, and most of modern-day Pakistan."
Kombo nini oyo ekoki te kozala kombo ya Civilization ya Mbula ya Bronze lolenge elobami na maloba wana,"Based on the passage, here's why the answer is:

*   **Correct Answer:** **A: The Harappan Civilization**

*   **Explanation:**

    *   The passage explicitly states that the Harappan Civilization IS a name used for this Bronze Age society. Therefore, it is NOT a name that *cannot* be used.
    *   The other options are names that are, at least to some degree, debated or alternative names for the same civilization."
"Kolanda maloba wana, nini na mae malandi epesaka litomba ya ngonga molai?","The correct answer is **A: Koyokana na basusu**.

Here's why:

* **P states:** ""Lokoso na moimi ekozalaka ntango nioso elongo na biso pe boyokani eza ete ntango bato mingi bazweli yango matomba ekozala na makambo mingi ya kozwa nsima ya ntango mokie soki toza na moimi. Nazolikia, bato mingi bakoyeba ete liponi na bango ya malamu ya ntango molai eza ya kosala elongo na basusu.""

This translates to: ""Greed and selfishness are always with us, and the agreement is that when many people benefit from it, there will be more to gain in the long run if we are selfish. I hope, many people will realize that their best long-term choice is to work together with others.""

Therefore, based on P, the long-term benefit is gained through **cooperation (koyokana na basusu)**.  The passage directly contrasts cooperation with selfishness, implying cooperation is the better long-term strategy.
"
"Kolanda maloba wana, na mae malandi nini oyo moto akoki kotalela lokola eloko ya motuya mingi soki mposa naye ezali ya kozua litomba nokinoki?","Mpo na koyanola na motuna oyo, tosengeli koyeba ndimbola ya maloba ya motuya na P.

*   **Lokoso (Moimi)**: Mposa ya kozwa biloko mpo na yo moko, kozanga kotalela basusu.
*   **Boyokani**: Kosepela kosala elongo mpe kokabola matomba.

P elobi ete moimi (lokoso) ezali kosala elongo na biso, kasi boyokani ezali na matomba mingi mpo na ntango molai. Soki moto alingi matomba nokinoki, maloba ya P emonisi ete moimi ekoki kozala lolenge ya kobongisa, atako na nsima ezali na makama. Kasi, maloba ya motuna esengi na biso eloko oyo moto akoki KOTALELA (soki alingi matomba nokinoki), kasi te nini akosala.

Na ba réponses oyo bapesaki, oyo nde oyo ezali kosala malamu elongo na moimi :

*   **Kozanga kimoimi** Ezali opposé ya mposa ya kozua matomba nokinoki.
*   **Kosalela elongo nabasuu** Ezali mpe opposé ya mposa ya kozua matomba nokinoki.
*   **Boyokani** Ezali mpe opposé ya mposa ya kozua matomba nokinoki.

Lokola ezali na lolenge mibale (A mpe D) oyo elobi ""Kozanga kimoimi"", esengeli o vérifier soki ezali na erreur na ba options to kosenga clarification. Mais, soki osengeli kopona moko, il faut kosenga clarification.

Na ndenge oyo natali yango, esengeli te ko répondre na kati ya ba réponses oyo o pesi.

**Suggestion ya réponse:**

Likambo ya ntina mingi mpo na moto oyo alingi matomba nokinoki, na kotalela maloba ya P, eza te kozanga moimi to kosala elongo, kasi nde *moimi* (lokoso), atako P alobi ete yango ezali te lolenge ya malamu na ntango molai. Kasi, kati na ba options oyo bapesaki, moko te ezali mpenza koyokana na mposa ya kozwa litomba nokinoki. Esengeli bobongisa ba choix to o clarifier motuna.
"
"Kolanda maloba wana, nani afutaki mbongo ebele ya Bitumba?","The correct answer is **D: Bato ya Mboka Phillipines**.

The passage states directly that the Philippine people were forced to pay taxes to the U.S. government to cover the costs of the war.
"
Tango nini eyaki liboso ya mbula Templiers?,"The correct answer is **C: Bileko ya moyen age ya kati**.

The passage states that the Templars were formed during the High Middle Ages (Moyen Age ya Likolo), which took place in the 11th, 12th, and 13th centuries.  It also says the High Middle Ages came *after* the Early Middle Ages (Moyen Age ya se). Therefore, the Early Middle Ages came *before* the time of the Templars. ""Bileko ya moyen age ya kati"" is the best translation of the Early Middle Ages.
"
Tango nini nde eyaki yambo sima ya mbula ya baTempliers?,"The correct answer is **C: Bileko ya moyen age ya likolo**.

The passage states that the period when the Templars were active is often called the High Middle Ages. The question asks what came *before* the period of the Templars. So the answer is the High Middle Ages.

Let's look at why the other options are incorrect:

*   **A: Bileko ya suka ya moyen age:** The passage says the High Middle Ages came *before* the Late Middle Ages, not after the Templar period.
*   **B: Ekeke to siecle ya 12:** While the Templars were active in the 12th century, the question asks about the period *before* their time, not just a specific century within their era.
*   **D: Ekeke ya 11:** Similar to option B, the 11th century falls within the High Middle Ages, but the question is asking for the period name before the time of the Templars.
"
Lolenge nini ya kobikisa to lolenge ya minganga kosala oyo elobami te kosalema na minganga na tango ya Kibokonzi ya Roma?,"The correct answer is **A: Kopesa bato kisi pona kozanga kimia koleka na nzela ya bakisi Sedative**.

The text mentions using morphine and scopolamine as anesthetics and pain relievers, but it *doesn't* talk about using sedatives to treat anxiety or other psychological conditions. The text focuses on surgical techniques and pain management. The other options are explicitly mentioned in the text.
"
"Kolanda maloba wana, na mae malandi nini elobami te kozala na kati ya makambo ya bokolisi ya kimonganga oyo esalemaki na tango ya Bokonzi ya Baroma ?","The correct answer is **C: Lolenge ya kozala ya balopitalo pona koyekola**.

The text mentions the following:

*   **A: Lolenge ya kozala ya lisanga ya baminganga:** The text says ""Mokonzi Auguste abandaki kozwa minganga mpe kutu asalaki etuluku ya liboso ya minganga ya Roma mpona basalela bango nsima ya bitumba."" (Emperor Augustus started to hire doctors and even created the first group of Roman doctors to serve after battles). This indicates the existence of a medical corps or group of doctors.
*   **B: Matta ya Basoda ya Bokonzi wana:** The text clearly connects medical advancements to the military focus of the Roman Empire, with doctors serving soldiers after battles.
*   **D: Lolenge Mokonzi azalaki kotiya minganga na mosala:** The text says that Emperor Augustus began employing doctors, demonstrating how the Emperor was involved in the deployment of medical professionals.

The text does **NOT** mention hospitals used for teaching or learning purposes. It focuses on the use of medicine and surgery to treat soldiers. Therefore, option C is the answer."
Makoki pona komona etali eloko nini?,"The correct answer is **A: Biteni ya nzoto oyo esungaka emoneli**

The passage clearly states that the ability to see ""etalelaka bianama ya komona to miso"" which translates to ""depends on visual organs or eyes"". This means the ability to see is related to the parts of the body that support vision.
"
