question,gemma3_answer
Ποιο από τα παρακάτω χρησιμοποιείται για την τοποθέτηση τηλεσκοπίου στο διάστημα;,4
Τι πρέπει να παρατηρηθεί για ένα περιοδικό γεγονός προκειμένου να αποτελέσει σημείο αναφοράς για το πέρασμα του χρόνου;,2
"Σύμφωνα με το απόσπασμα, για ποιο χαρακτηριστικό ενός γεγονότος χρησιμοποιείται ως μονάδα σύγκρισης ο χρόνος;",1
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω θεωρείται πως πρέπει να κάνει ο διάδοχος του θρόνου σύμφωνα με την παράδοση;",2
"Με βάση τις πληροφορίες που δίνονται στο απόσπασμα, ο Κάρολος ήταν ο πρώτος που έκανε τι;",3
Από ποια χώρα ήταν ο στόλος του Τρίγκβασον;,4
Σε ποια χρονική στιγμή στην ιστορία άσκησε η Γερμανία ισχυρή πολιτιστική επιρροή στην Εσθονία;,3
Από τι επηρεάστηκε η εσθονική γλώσσα;,2
"Σύμφωνα με το απόσπασμα, ο αριθμός των φυσικών ομιλητών Χίντι κυμαίνεται με βάση ποιον παράγοντα;",1
Ποιο από τα παρακάτω είναι μια αληθής δήλωση σχετικά με τις γλώσσες Χίντι και Ουρντού;,2
Ποιο από τα παρακάτω δεν αποτελεί ακριβές στοιχείο σχετικά με το αλφάβητο χάνγκουλ;,1
Ποια ονομασία απέκτησε τελικά το αλφάβητο Χουμιντζόνγκουμ;,2
"Σύμφωνα με το απόσπασμα, ποιες γλώσσες έχουν επηρεαστεί από τα σανσκριτικά;",4
"Σύμφωνα με το απόσπασμα, για ποιόν λόγο μειώθηκε η χρήση της σανσκριτικής γλώσσας;",4
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω είναι μια αληθής δήλωση σχετικά με τη δύναμη της βαρύτητας στην Ιώ;",4
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω πληροφορίες είναι ακριβής σχετικά με την εξωτερική στοιβάδα της Σελήνης;",3
"Σύμφωνα με το απόσπασμα, πού είναι παχύτερος ο φλοιός της Σελήνης;",3
"Με βάση το απόσπασμα, τι από τα ακόλουθα πιστεύουν ορισμένοι;",3
Τι γίνεται λεπτότερο όσο απομακρύνεστε από το κέντρο του Ήλιου;,3
"Σύμφωνα με το απόσπασμα, ποιο μέρος του Ήλιου είναι ορατό από τη Γη;",3
Ποια από τις παρακάτω παρατηρήσεις βοήθησε στην επιβεβαίωση της θεωρίας του Κοπέρνικου;,1
Ποιο από τα παρακάτω παρατηρήθηκε από τον Γαλιλαίο το 1610;,2
"Σύμφωνα με το απόσπασμα, από πού συλλέγει νερό ο Αμαζόνιος;",1
Ποια διάκριση δεν αποδίδεται στον ποταμό Αμαζόνιο;,3
Ποιος τομέας απασχόλησης που αναφέρεται στο απόσπασμα απασχολεί τον μικρότερο αριθμό Βενεζουελάνων;,3
"Σύμφωνα με το απόσπασμα, ποιος από τους παρακάτω τομείς απασχολεί τον μεγαλύτερο αριθμό Βενεζουελάνων;",1
"Σύμφωνα με το απόσπασμα, τι επιτρέπει η σύντηξη στα αστέρια να κάνουν;",3
Ποιο από τα παρακάτω θα δημιουργούσε ένας χρήσιμος αντιδραστήρας σύντηξης;,4
Ποια είναι η χημική σύνθεση του νερού;,4
"Όταν το νερό αλλάζει μορφή, τι θα παραμείνει το ίδιο;",1
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω δεν αποτελούσε ζήτημα για τις δεκατρείς πολιτείες όταν προσπαθούσαν να επιβάλουν ορισμένους νόμους;",1
"Σύμφωνα με το απόσπασμα, ποια δήλωση αντικατοπτρίζει με ακρίβεια την κατάσταση της κεντρικής κυβέρνησης κατά τη διάρκεια της Επανάστασης;",4
Πώς είναι γραμμένες οι λέξεις στο πίσω μέρος της Διακήρυξης της Ανεξαρτησίας;,3
Η Σιγκαπούρη είναι γνωστή για ποιο από τα παρακάτω;,1
Τι είναι η Vanda Miss Joaquim;,2
"Σύμφωνα με το απόσπασμα, ποιο χαρακτηριστικό των πυραμίδων της Γκίζας δεν ήταν πιθανό να θαυμάσουν οι Αιγύπτιοι του Νέου Βασιλείου;",1
"Σύμφωνα με το απόσπασμα, από που μεταναστεύουν τα φυτοφάγα ζώα προς αναζήτηση βροχών;",2
"Σύμφωνα με το απόσπασμα, από ποια περιοχή φεύγουν τα φυτοφάγα ζώα μέσα στον Απρίλιο;",2
Η Επιχείρηση Θαλάσσιος Λέων ήταν εισβολή σε ποια χώρα;,2
Ποιο όνομα έδωσε η Γερμανία στην επίθεση στη Βρετανία;,2
Τι δεν αναφέρεται ως απαραίτητο βήμα στο σχέδιο της Ιταλίας για την κατάληψη των αφρικανικών χωρών;,2
"Σύμφωνα με το απόσπασμα, ποιος ήταν ο πρωταρχικός στόχος της Ιταλίας στον πόλεμο;",1
Ποιος δημιούργησε φιλικές σχέσεις με τους εισβολείς;,2
Ποιοι Σύμμαχοι συμμετείχαν στην Επιχείρηση Δράκος;,1
Η ανάπτυξη ποιας τεχνολογίας επέτρεψε στα υποβρύχια να αρχίσουν να ταξιδεύουν κάτω από το νερό;,4
"Κατά τη διάρκεια της πρώτης χρήσης τους, τα υποβρύχια είχαν πολύ περιορισμένη εμβέλεια σε ποιο πεδίο;",3
"Σύμφωνα με το απόσπασμα, ποιος παραβίασε μια συμφωνία; ",4
Ποιο από τα παρακάτω δεν πραγματοποιήθηκε από τον Κόκκινο Στρατό;,3
Τι απέγινε ο αρχιμηχανικός της ιταλικής δέκατης Στρατιάς;,3
Πού σκοτώθηκε ο Ίταλο Μπάλμπο;,4
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω τεχνικές αποτελεί μεγάλο μέρος του θιβετιανού διαλογισμού;",3
"Σύμφωνα με το απόσπασμα, πώς ενεργοποιούνται τα τσάκρα κατά τη διάρκεια του «επίκεντρου» του θιβετιανού διαλογισμού;",2
Ποιος παρουσίασε το δεύτερο λατρευτικό τραγούδι κατά τη διάρκεια του προγράμματος;,4
"Σύμφωνα με το απόσπασμα, ποιος παρουσίασε ένα λατρευτικό τραγούδι κατά τη διάρκεια της προσφοράς φαγητού;",1
Ποιοι έδωσαν την προτελευταία παράσταση της βραδιάς;,1
Τι εθνικότητας είναι ο Αλεσάντρο Σαφίνα;,4
"Με βάση το απόσπασμα, ποια από τις παρακάτω δηλώσεις δεν είναι αληθής;",1
"Σύμφωνα με το απόσπασμα, ποιος έκανε κάποιο σχόλιο σχετικά με τις δυσάρεστες συνθήκες θερμοκρασίας;",2
Πού συνέβη διακοπή ρεύματος λόγω της δραστηριότητας του τσουνάμι;,1
"Σύμφωνα με το απόσπασμα, πώς επηρεάστηκε η Τόνγκα από τη διακοπή ρεύματος;",4
Πότε κατόρθωσε η αστυνομία να χρησιμοποιήσει τα ραντάρ για τον εντοπισμό της ταχύτητας οδήγησης του Τζόνι Ρέιντ;,1
"Σύμφωνα με το απόσπασμα, για ποιον λόγο δυσκολευόταν η αστυνομία της Νέας Ζηλανδίας να καταγράψει την ταχύτητα του Τζόνι Ρέιντ;",2
Πού είχε το επίκεντρό του ο σεισμός σε σχέση με το Μπουτ;,2
Τι συνέβη κατά τη διάρκεια της εξέγερσης στο Αμπού Γκράιμπ;,4
Για ποιον λόγο έγιναν διαβόητες οι ιρακινές φυλακές; ,4
Τι είδους εκδήλωση επρόκειτο να πραγματοποιηθεί στο Στάδιο Μάουις Γουόρ Μεμόριαλ;,3
Ποιος έδωσε τελικά κάποια αιτιολογία σχετικά με την ακύρωση της εκδήλωσης;,2
Ποιον θεώρησαν πολλοί κάτοικοι της Μπισκέκ υπαίτιο για τις λεηλασίες;,3
Ποιος θεώρησε υπαίτιους τους διαδηλωτές από τον Νότο για τις λεηλασίες;,1
Πότε αύξησε τις πωλήσεις της η Ring;,1
Πότε αποφάσισε ο Τζέημι Σίμινοφ να ξεκινήσει τη Ring;,1
Κάθε επεισόδιο του Reading Rainbow παρείχε στα παιδιά προτάσεις για ποιο πράγμα;,4
Τι μπορεί να συνέβαλε στην ακύρωση της σειράς Reading Rainbow;,1
Ποιο από τα παρακάτω δεν αποτελεί επιχείρημα που προέβαλαν οι αρμόδιοι για την πόλη του Άμστερνταμ και το μουσείο σχετικά με το δέντρο;,2
"Σύμφωνα με έναν επικεφαλής επιθεωρητή της RSPCA, οι επιθεωρήσεις θα πρέπει να γίνονται σε καθημερινή βάση για ποιο από τα παρακάτω;",4
"Σύμφωνα με το απόσπασμα, τι μπορεί να συμβάλει στην παγίωση της σημασίας της καλής μεταχείρισης των ζώων μεταξύ των ατόμων που δουλεύουν στα σφαγεία της Αυστραλίας;",1
"Σύμφωνα με το απόσπασμα, με τι ασχολείται το άτομο το οποίο συνελήφθη;",1
"Σύμφωνα με το απόσπασμα, την ώρα που διαδίδονταν η είδηση μιας άλλης σύλληψη, διεξάγονταν οι κηδείες πόσων θυμάτων;",2
"Ως απάντηση στις διαδηλώσεις, ποια χώρα αποφάσισε τη μη επικύρωση της συμφωνίας ACTA την οποία είχε υπογράψει;",2
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω χώρες αποφάσισε να αναβάλει τη διαδικασία ένταξής της στην ACTA;",4
Πόσοι άνθρωποι τραυματίστηκαν από περιστατικά υπερθέρμανσης iPod;,1
Ποιος δήλωσε ότι τα περιστατικά υπερθέρμανσης δεν ήταν εξαιρετικά σοβαρά;,4
"Κατά τη διάρκεια της ομιλίας του, τι είπε ο Στιβ Τζομπς ότι επρόκειτο να εφεύρει από την αρχή η Apple;",2
Ποιος ήταν ο σκοπός της δίωρης ομιλίας του Στιβ Τζομπς;,3
Τι ανακοίνωσε η Κριστίνα Φερνάντες ντε Κίρχνερ στο Θέατρο της Αργεντινής;,1
Πού ανακοίνωσε η Κριστίνα Φερνάντες ντε Κίρχνερ την πρόθεσή της να θέσει υποψηφιότητα;,3
Ποια ήταν τα ευρήματα της Αυστραλιανής Αρχής Επικοινωνιών και Μέσων Μαζικής Επικοινωνίας σχετικά με το Big Brother;,1
Σε ποιες παραμέτρους πρέπει να εμπίπτουν τα μέσα προκειμένου να θεωρούνται διαδικτυακό περιεχόμενο;,2
Ποιος είναι ο ηγέτης του Φιλελεύθερου Κόμματος της Αυστραλίας;,2
Για ποιον λόγο η Αυστραλία δεν διαθέτει ήδη βιομηχανία πυρηνικής ενέργειας;,4
Ποιος σκιέρ αγωνίστηκε με τη βοήθεια οδηγού;,3
Ποια χώρα τερμάτισε δέκατη στην κατηγορία Super-G (standing) γυναικών;,1
"Σύμφωνα με το απόσπασμα, ποια δήλωση για τον Μπλέικ δεν είναι ακριβής;",2
"Με βάση το απόσπασμα, ποιο από τα παρακάτω δεν συνέβη στον Μπλέικ;",3
Για ποιον σκοπό δεν θα χρησιμοποιηθεί το ταμείο του ΟΗΕ για την υπερθέρμανση του πλανήτη;,2
"Σύμφωνα με το απόσπασμα, τι ελπίζει να σώσει ή να εξοικονομήσει ο ΟΗΕ;",3
Ποιο από τα παρακάτω δεν ανέφερε ο Άλμπερτ Μουτσάνγκα ως κάτι το οποίο δεν είχε ακόμα συμφωνηθεί;,1
"Σύμφωνα με το απόσπασμα, για ποιον λόγο μπορούν οι συναλλαγές να ξεκινήσουν τον Ιούλιο;",2
"Σύμφωνα με το απόσπασμα, για τι πράγμα κατηγορούσε η Ατλάντα Τζέρναλ-Κονστιτούσιον τους υπαλλήλους στον τομέα της εκπαίδευσης;",3
"Με βάση τις πληροφορίες που δίνονται στο απόσπασμα, τι δεν αναφερόταν στην έκθεση της Ατλάντα Τζέρναλ-Κονστιτούσιον;",2
"Σύμφωνα με το απόσπασμα, ποιες πληροφορίες είναι γνωστές μετά τη βομβιστική επίθεση;",2
"Από τότε που πήρε μεταγραφή στη Μάντσεστερ Σίτι το 2017, σε πόσους αγώνες έχει παίξει ο Χεσούς;",4
Για τη μεταγραφή σε ποια ομάδα έλαβε ο Χεσούς αμοιβή 27 εκατομμυρίων λιρών;,1
Ποια δήλωση σχετικά με τους φιλοξενούμενους του ξενώνα δεν είναι αληθής;,4
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω δηλώσεις είναι αληθής;",3
"Με βάση το απόσπασμα, ποιες πληροφορίες σχετικά με τη σύγκρουση δεν είναι αβέβαιες;",2
"Σύμφωνα με το απόσπασμα, τι πρέπει ακόμη να προσδιοριστεί όσον αφορά τη σύγκρουση;",4
"Σύμφωνα με το απόσπασμα, σε ποια θέση είχε κάποτε καταταχθεί ο Batten στη λίστα των πλουσιότερων Αμερικανών;",3
Σε ποιο ίδρυμα από τα παρακάτω έκανε δωρεά ο Batten;,2
Τι από τα παρακάτω δεν αποτελεί μέρος του νομοσχεδίου που υπέγραψε ο κυβερνήτης Άρνολντ Σβαρτζενέγκερ;,3
"Σύμφωνα με το απόσπασμα, ποιος δεν άκουσε τα όσα ειπώθηκαν;",3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω ισχύει όσον αφορά την εμπειρία του Μίλερ κατά τη διάρκεια της ακρόασης;",2
Ποιος πρότεινε την αναθεώρηση του «νόμου για τον καθαρό αέρα»;,3
Ποιος αμφισβήτησε τον ισχυρισμό ότι ο «νόμος για τον καθαρό αέρα» χρησιμοποιήθηκε ως προεκλογικό κόλπο;,2
Τι δημιουργήθηκε όταν οι ενώσεις κυανουρικό οξύ και μελαμίνη αντέδρασαν μεταξύ τους σε ούρα γάτας;,3
Οι ερευνητές χρησιμοποίησαν την υπέρυθρη φασματοσκοπία για να παρατηρήσουν τι;,2
Ποιος αποκαλούσε τη Λούνα «Queen of Extreme»;,4
Ποιος αποκαλούσε τη Luna «αλλόκοτη»;,2
Τι δεν συνέβη στον οδηγό που ενεπλάκη στο ατύχημα;,3
Τι δεν ήταν αυτό που έκανε το παίξιμο της Νότιας Αφρικής ξεχωριστό κατά τη διάρκεια του τουρνουά ράγκμπι;,3
"Σύμφωνα με το απόσπασμα, πότε άρχισε να βελτιώνεται το παιχνίδι της Νότιας Αφρικής;",4
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω δηλώσεις δεν αντικατοπτρίζει με ακρίβεια την οικονομία της Κίνας;",4
"Σύμφωνα με το παραπάνω απόσπασμα, πότε αναμένεται το ΑΕΠ της Κίνας να ξεπεράσει το αντίστοιχο των Ηνωμένων Πολιτειών;",2
Τι πρότεινε ο Χου στις αναπτυσσόμενες χώρες;,4
Τι δεν αναφέρθηκε από τον Χου;,4
Για τι από τα παρακάτω δήλωσε ο Veerman ότι η κατάσταση δεν ήταν καλή;,2
"Λόγω της δίωξης, ποιος θα πάρει τη θέση του Χιούν στο υπουργικό συμβούλιο;",1
Ποιος θα αναλάβει τη θέση του Υπουργού Επιχειρήσεων μετά την άσκηση της δίωξης;,1
Τι ενθαρρύνουν το κοινό να κάνει κατά τη διάρκεια της όπερας του Καμίγ Σεν-Σανς;,1
Ποιος καπνίζει κατά κύριο λόγο τσιγάρα κάνναβης κατά τη διάρκεια της όπερας;,3
Πώς αλλιώς ονομάζεται ο «διαστημικός περίπατος» που πραγματοποίησε ο Λεόνοφ;,3
Ο Λεόνοφ ηγήθηκε της ομάδας κοσμοναυτών της Σοβιετικής Ένωσης σε ποια αποστολή;,2
Ποιοι τραυματίστηκαν στη σύγκρουση;,1
Τι συνέβη στους ανθρώπους που ενεπλάκησαν στο ατύχημα;,2
Οι επιστήμονες που εργάζονται στο πρόγραμμα προσδοκούν να παρατηρήσουν τα αποτελέσματα που προκαλούνται από ποιο από τα παρακάτω;,2
Οι επιστήμονες παρατηρούσαν την ύλη τίνος από τα παρακάτω;,4
"Με βάση το απόσπασμα, για ποιο από τα παρακάτω δεν ασκείται κριτική από τους συντηρητικούς;",2
Ποιος επικρίνει τις συμβάσεις ανασυγκρότησης που εκχωρούνται στο πλαίσιο των προσπαθειών αρωγής στον απόηχο του τυφώνα Κατρίνα;,2
"Σύμφωνα με το απόσπασμα, πού θα γίνουν αρχικά ορατά τα φώτα από το διαστημόπλοιο Stardust;",2
"Σύμφωνα με το απόσπασμα, το διαστημόπλοιο θα δημιουργήσει ρεκόρ για τι από τα παρακάτω;",3
Τι σχέση έχει η γιατρός Malar Balasubramanian με τη Saroja Balasubramanian;,2
Πού βρέθηκε το πτώμα της Saroja Balasubramanian;,3
Ποια επιχείρηση εξαγοράστηκε από το eBay;,3
Τι επιδιώκει να επιτύχει το eBay με την εξαγορά;,2
"Σύμφωνα με το απόσπασμα, ποιος δεν αλληλεπίδρασε με τους κρατούμενους που παρέμειναν στο προαύλιο όταν τελείωσε η σύγκρουση;",4
Τι από τα παρακάτω έκανε τελικά τους κρατούμενους να σταματήσουν την εξέγερση;,2
"Κατά την άποψη του Αγιατολλάχ Αλί Χαμενεΐ, από τι πρέπει να απελευθερωθεί η χώρα του Ιράν;",4
"Σύμφωνα με το απόσπασμα, ποιος παραδέχθηκε τις επιπτώσεις των κυρώσεων στην ιρανική οικονομία;",1
Ποιο από τα παρακάτω δεν αποτελεί τμήμα της διαδικασίας ψηφοφορίας της Γαλλίας;,4
Πού δηλώνουν οι ψηφοφόροι τον υποψήφιο που επέλεξαν;,2
Τι ώθησε τον Άλεν να ξεκινήσει την οκταετή του αναζήτηση για το Μουσάσι;,4
"Σύμφωνα με το απόσπασμα, για ποιο πράγμα ξόδεψε ο Άλεν μεγάλο ποσό από τα χρήματά του;",2
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω στοιχεία είναι πιθανόν να προκάλεσε επικίνδυνες συνθήκες στην περιοχή πλησίον του εργοστασίου;",1
Ποιο από τα παρακάτω δεν αποτελεί μία από τις συμβουλές ασφαλείας που προτείνονται στους κατοίκους της περιοχής μετά το περιστατικό στο εργοστάσιο;,3
"Σύμφωνα με τον Δρα Μολ, ποιο είναι το πιο ανησυχητικό στοιχείο όσον αφορά την XDR-TB;",4
Πόσοι από τους ασθενείς οι οποίοι μολύνθηκαν από τη νέα μετάλλαξη επιβεβαιώθηκε ότι είναι επαγγελματίες υγεία;,2
Τι είδους τεχνολογία χρησιμοποιεί το σύστημα αεροπορικών μεταφορών νέας γενιάς;,1
Ποιο είναι το άμεσο όφελος του συστήματος αεροπορικών μεταφορών νέας γενιάς για τους ελεγκτές εναέριας κυκλοφορίας;,2
"Σύμφωνα με το απόσπασμα, για ποιο πράγμα οι ιστορικοί δεν έχουν ασκήσει κριτική στο FBI όσον αφορά την συγκέντρωση πόρων;",3
Τι αναγκάζει το FBI να κάνει η πρωτοβουλία κατά των βωμολοχιών;,4
Τι συνέβη στο πυροσβεστικό όχημα κατά την κινητοποίησή του κατά τη διάρκεια της συντριβής του JAS 39C Gripen; ,2
"Μετά τη συντριβή του JAS 39C Gripen, το αεροδρόμιο διέκοψε τη λειτουργία του για ποιους;",1
Σε ποιον προσέφερε καθοδήγηση ο Μπρεζίνσκι κατά τη διάρκεια της Ιρανικής Επανάστασης;,3
Ποιος κατείχε τη θέση του Συμβούλου Εθνικής Ασφάλειας μέχρι το 1977;,2
Ποιο από τα παρακάτω δεν αντικατοπτρίζει με ακρίβεια την καριέρα του Μπόμπεκ στην Παρτιζάν Βελιγραδίου;,1
Ποια δήλωση σχετικά με την ιστορία του Μπόμπεκ στην Παρτιζάν Βελιγραδίου είναι αληθής;,1
"Σύμφωνα με το απόσπασμα, ποιο χαρακτηριστικό διαφοροποιεί τον Hesperonychus από τον Βελοσιράπτορα;",2
Από ποιο φυσικό χαρακτηριστικό του είδους προέρχεται η έννοια του «Hesperonychus»;,1
Ποιες από τις παρακάτω δηλώσεις σχετικά με τους πυροβολισμούς είναι αληθείς;,4
Ποια δήλωση σχετικά με το περιστατικό κατά τη διάρκεια του οποίου σημειώθηκε ο πυροβολισμός είναι ακριβής;,1
"Σύμφωνα με το απόσπασμα, ποια ήταν η αρχική ανησυχία των υπαλλήλων σχετικά με το Luno;",3
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω δηλώσεις σχετικά με τη βλάβη του Luno δεν είναι αληθής;",2
Ποια δεκαετία κέρδισε την ανεξαρτησία της η Αλγερία;,3
Πού δεν στήθηκαν τηλεοράσεις για την τελετή της κηδείας;,4
Πού έγινε η κηδεία;,3
"Μετά την έκρηξη, ποιος νοσηλεύτηκε με σοβαρούς τραυματισμούς;",2
Ποιος ανέφερε τη διαρροή αερίου;,1
"Σύμφωνα με το απόσπασμα, πόσοι άνθρωποι πέθαναν κατά τη διάρκεια της επίθεσης;",2
Ποιανού το όπλο αστόχησε σε κάποιο σημείο κατά τη διάρκεια της επίθεσης;,2
Ποιο από τα παρακάτω αθλήματα ψηφίστηκε εκτός του Ολυμπιακού προγράμματος;,3
Ποιο από τα παρακάτω αθλήματα ψήφισε η Διεθνής Ολυμπιακή Επιτροπή να συμπεριληφθούν στους αγώνες;,3
Ο Άρθουρ Γκίνες συνήψε αρχικά συμφωνία μίσθωσης για το ζυθοποιείο Σεντ Τζέιμς Γκέιτ για πόσα χρόνια;,4
Πόσα δισεκατομμύρια δολάρια αποφέρει ως έσοδα η Guinness κάθε έτος;,3
Σε πόσες χώρες της Ευρωπαϊκής Ένωσης έχει εντοπιστεί ο ιός H5N1;,3
Πού εντοπίστηκε το τελευταίο κρούσμα του ιού H5N1;,1
Πότε ήταν η τελευταία φορά που η Αϊτή αντιμετώπισε την ασθένεια πριν από την εξάπλωση που προκλήθηκε από τις ειρηνευτικές δυνάμεις;,2
Από ποια τοποθεσία προέρχονταν τα απορρίμματα που συνέβαλαν στην εξάπλωση της νόσου;,2
Τι σχεδιάζει η ιρλανδική κυβέρνηση;,2
Τι από όλα ήταν προσωρινά νόμιμο στην Ιρλανδία;,4
Για ποιον λόγο διώκεται ο ύποπτος δράστης;,1
"Κατά την τροποποίηση της πινακίδας, τι δεν έκανε ο ύποπτος;",1
"Σύμφωνα με το απόσπασμα, για ποιο από τα παρακάτω δεν κατηγορήθηκε ο Άγγλος δάσκαλος Κάρνο;",2
"Σύμφωνα με το απόσπασμα, ποιος δεν κρατήθηκε όμηρος από τον Ρολάντο Μεντόζα;",4
"Με βάση το απόσπασμα, ποιοι είναι οι όμηροι οι οποίοι δεν επιβεβαιώθηκε ότι αφέθηκαν νωρίς;",1
"Σύμφωνα με το απόσπασμα, ποιος συγκεντρώνει υπογραφές για να υποστηρίξει τη νομιμοποίηση του γάμου μεταξύ ατόμων του ιδίου φύλου στη Βραζιλία;",1
Σε ποιον θα παρουσιάσουν την επιστολή τους οι διαμαρτυρόμενοι;,3
"Σύμφωνα με την αφήγηση του Αρμάντ Βερσάτσε, τι συνέβη ακριβώς πριν το πλήθος αρχίσει να αντιδρά στην αλλαγή του καιρού;",3
"Σύμφωνα με τον Βερσάτσε, πότε άρχισαν να φυσούν ισχυρότεροι άνεμοι;",1
"Πριν από τον Φρεντ, πόσες μεγάλες καταιγίδες είχαν καταγραφεί ανατολικά των 35 δυτικών μοιρών;",3
"Όταν ο Φρεντ βρισκόταν κοντά στα νησιά του Πράσινου Ακρωτηρίου, προς ποια κατεύθυνση κινούνταν;",4
Ποιο από τα παρακάτω έχει μεγαλύτερες ταχύτητες από τους προκατόχους του;,1
Τι είναι απαραίτητο ώστε το 802.11n να είναι αντίστροφα συμβατό με το 802.11b;,4
Σε πόσα αγωνίσματα κολύμβησης αναμενόταν να συμμετάσχει ο χρυσός ολυμπιονίκης στους Αγώνες της Κοινοπολιτείας;,1
Για ποιον λόγο ο χρυσός ολυμπιονίκης δεν έπαιρνε τα φάρμακα που χρειάζονταν για να μην πονάει;,4
"Σύμφωνα με το απόσπασμα, τι μπορεί να προκάλεσε σύγχυση σχετικά με τη σεισμική δραστηριότητα;",1
"Σύμφωνα με το απόσπασμα, πότε συνέβη η αλλαγή της φάσης;",3
Ποια από τις παρακάτω δηλώσεις σχετικά με το εξερευνητικό όχημα για τη Σελήνη Chandrayaan-1 δεν είναι αληθής;,1
Ποια από τις παρακάτω δηλώσεις περιγράφει με ακρίβεια το εξερευνητικό όχημα για τη Σελήνη;,2
"Με βάση το απόσπασμα, ποιο μέτρο προστασίας από την ασθένεια πρόκειται να εφαρμοστεί τελευταίο;",3
Πώς μεταδίδεται η ασθένεια στον άνθρωπο;,1
Η αποτυχία της δεύτερης πρότασης θα μπορούσε να οδηγήσει σε ποιο αποτέλεσμα;,2
"Σύμφωνα με το απόσπασμα, πότε σβήστηκε η δεύτερη πρόταση;",1
Που διέρρευσαν τα «Panama Papers»;,2
"Σύμφωνα με το απόσπασμα, ποιος ήταν εκείνος ο οποίος ο βρετανικός τύπος ισχυριζόταν ότι διαχειριζόταν πολλές από τις εταιρείες που χρησιμοποιούνται για την απόκρυψη του πλούτου;",3
Ποιο από τα παρακάτω αεροπορικά δυστυχήματα είχε τους περισσότερους θανάτους;,1
Ποιο από τα παρακάτω δεν αποτελεί αιτία για την πληθώρα των αεροπορικών ατυχημάτων που συμβαίνουν στο Ιράν;,2
Τι από τα παρακάτω δεν περιλαμβάνεται στην έκθεση της ομάδας μελέτης του Ιράκ;,2
Για ποιο από τα παρακάτω δεν απηύθυνε έκκληση η ομάδα μελέτης του Ιράκ στην έκθεσή της;,1
"Σύμφωνα με την αστυνομία, ποιος ήταν το δεξί χέρι του Προβεντσάνο;",2
"Με βάση τις πληροφορίες που δίνονται στο απόσπασμα, ποια ήταν η αιτία θανάτου του Φαλκόνε;",1
Με ποιο από τα παρακάτω δεν βραβεύτηκε ο Χίτοσι Σάιτο;,4
Σε ποια χώρα κατάφερε να ξεφύγει από γάμο ο Ιβασάκι;,2
Ποιος επιτέθηκε στον Ιβασάκι;,2
Πότε τερμάτισε τον αγώνα του ο Αλόνσο;,3
Τι έκανε τον Σουμάχερ να τερματίσει πρόωρα τον αγώνα του;,4
"Σύμφωνα με το απόσπασμα, ποιανού δουλειά είναι να θέτει εγγύηση για τους συλληφθέντες;",4
"Σύμφωνα με τα προσωρινά περιοριστικά μέτρα που αναφέρονται στο απόσπασμα, τι πρέπει να επιτρέπεται στους συλληφθέντες προκειμένου να κρατούνται παραπάνω από 24 ώρες;",4
"Σύμφωνα με το απόσπασμα, ποιος λόγος δεν χρησιμοποιήθηκε για της εξήγηση της ακύρωσης της επαναληπτικής ψηφοφορίας;",2
Για ποιον λόγο οι διπλωμάτες έκριναν τελικά περιττές τις επαναληπτικές εκλογές;,3
Ποιος παρέχει δικαστικές υπηρεσίες για τις Ομοσπονδιακά Διοικούμενες Φυλετικές Περιοχές;,2
Ποια από τις παρακάτω δηλώσεις σχετικά με τους «πολιτικούς πράκτορες» των Ομοσπονδιακά Διοικούμενων Φυλετικών Περιοχών δεν είναι αληθής;,3
Για ποιο βραβείο ήταν υποψήφια η Έμμα Στόουν;,3
Για ποιο βραβείο δεν προτάθηκε η ταινία;,2
Τι από τα παρακάτω παρέμεινε σε λειτουργία μετά τον σεισμό;,4
"Σύμφωνα με το απόσπασμα, ποια από τα παρακάτω υπέστησαν ζημιές εξαιτίας του σεισμού;",3
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω θέματα δεν περιλαμβάνεται στο έγγραφο;",2
Ποιο από τα παρακάτω δεν αποτελεί κάποιο από τα αιτήματα της Παλαιστίνης;,2
Σε ποια χώρα σπούδασε νομική ο Μα;,1
"Σύμφωνα με το απόσπασμα, ποια χώρα συνέβαλε στην εκλογική νίκη του Μα;",4
"Όπως αναφέρεται στο απόσπασμα, που εργαζόταν η Carolyn Wilson πριν εγκαταλείψει την πόλη;",3
"Ποιος βρίσκεται στην τέταρτη θέση του Πρωταθλήματος οδηγών, με τέσσερις αγώνες ακόμα για τη σεζόν;",4
"Μετά τον αγώνα που αναφέρθηκε στο απόσπασμα, πόσους πόντους έχει ο Καν στο Πρωτάθλημα οδηγών;",1
